stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0
  7-9,7.89,7.89,2.63,0,15.77,0,0,0,5.26,0,0,0,120.92,2.63,0,57.83,0,0,0
 10-12,0,0,15.73,0,3.15,0,0,0,0,0,0,0,59.79,0,0,25.18,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,3.28,0,9.85,0,0.82,0,0,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,4.03,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,0,0,2.3,0,0.57,0,0,0,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,2.94,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,2.19,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,2.3,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
