stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,3.15,0,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,0,1,14,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0
 24-34,0,0,0,64.85,0,0,0,0,0.82,0.82,29.55,0,0,0,0.82,4.1,0,0,0.82
 36-46,0,0,0,66.06,0,0,0,0.81,0,0,34.64,0,0,0,0.81,16.11,0,0,0.81
 48-58,0,0,0,49.92,3.44,0,0,0,0,0,21.8,0.57,0,0,0,8.61,0,0,0
 60-70,0,0,0,50.06,1.96,0,0,0,0.98,0,22.58,0,0,0,1.96,1.96,0,0,0
 72-82,0,0,0.98,81.48,6.87,0,0,0,0.98,0,30.43,0,0.98,0,4.91,1.96,0,0,0
 84-94,0,1.06,0,58.41,3.19,1.06,0,0,0,0,8.5,0,0,0,2.12,3.19,0,0,0
 96-106,0,1.09,0,49.18,2.19,0,0,0,4.37,0,13.11,0,0,0,7.65,0,0,1.09,0
108-118,0,0.77,0,45.96,2.3,0.77,0,0,0.77,1.53,17.62,0,0,0,4.6,0,0.77,0.77,0
120,0,0,0,60.75,1.96,0,0,0,0,1.96,25.48,0,0,0,5.88,0,0,0,0
