stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,34.62,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,3,1,2,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0.82,0,0,4.1,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,1.72,0,0,4.59,0,0,0.57,0,0,0,0,0,0,0,2.3,0,0,0,5.16,0,0,0,0,2.87,0,0,2.3,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,1.96,0,0,0,0,5.89,0,0,0,0,0,0
 72-82,0,0,0,19.63,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.89,0,0,0,0,9.82,0,0,0.98,0.98,0,0
 84-94,0,0,0,21.24,0,0,3.19,0,1.06,0,0,0,0,0,1.06,0,0,4.25,0,0,0,3.19,0,0,1.06,0,29.74,0,0,0,1.06,0,0
 96-106,0,0,0,110.38,1.09,0,2.19,1.09,0,0,2.19,0,0,1.09,2.19,0,1.09,3.28,0,0,1.09,3.28,0,0,0,0,28.41,0,0,0,5.46,0,1.09
108-118,0,0,0,113.36,0,0.77,1.53,1.53,0,0.77,7.66,0,0,0,4.6,0,0,1.53,0.77,0.77,0,4.6,0,0.77,0,0,22.21,0,0,0.77,10.72,0,0
120,0,0,0,129.35,0,0,0,0,0,0,0,0,1.96,0,3.92,0,3.92,0,0,0,0,1.96,0,0,0,0,17.64,0,0,0,1.96,0,0
