stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,4,4,73,0,0,0,0,0,0,1,7,2,0,0,21,0,0
 24-34,0,0,0,0,2.46,3.28,0,3.28,0,0,0.82,0.82,0,0,11.49,0,0.82,0.82,0,0,11.49,57.46,0,0.82,23.8,57.46,126.41,0,0,0,0.82,0.82,0.82,0,0.82,1.64,0,0,115.74,0,2.46
 36-46,0.81,0,0,0,2.42,0,0,3.22,0,0.81,0.81,0.81,0,0,21.75,0,0,0,0,0,25.78,184.5,0.81,4.03,33.84,71.7,107.96,0,0.81,0,0.81,0,0,0,0,4.03,0,0,128.1,0,4.83
 48-58,0.57,0,0,0,0,0,0,5.74,0,0.57,11.48,5.74,0,0.57,16.07,0.57,0.57,3.44,0,0,26.97,231.24,0,12.62,33.28,56.81,62.54,0,0.57,0,2.3,1.15,0.57,0,0,4.59,0,1.15,98.12,0,10.9
 60-70,0,0,0,0,1.96,0.98,0,5.89,0,0,12.76,14.72,0.98,2.94,8.83,1.96,0,5.89,0,0,18.65,292.49,0.98,23.56,21.59,51.04,42.21,0,0,0,11.78,0.98,1.96,0,0,3.93,0,9.82,64.78,0.98,19.63
 72-82,0,0,0,0,7.85,0,0,17.67,2.94,0,19.63,53.99,6.87,0.98,15.71,0,0,11.78,3.93,0,34.36,433.89,0.98,50.06,49.08,78.53,48.1,0.98,0,0,17.67,0.98,0,0,0,3.93,0,22.58,134.49,20.61,18.65
 84-94,0,0,1.06,0,3.19,0,0,42.48,2.12,1.06,14.87,48.85,7.43,1.06,16.99,5.31,0,26.55,1.06,1.06,54.16,277.19,1.06,49.92,23.36,55.23,62.66,0,0,0,19.12,1.06,0,0,0,2.12,1.06,12.74,113.64,24.43,11.68
 96-106,1.09,0,0,0,7.65,4.37,0,32.79,2.19,3.28,15.3,86.33,6.56,0,12.02,3.28,2.19,38.25,4.37,3.28,45.9,386.87,1.09,51.36,34.97,68.85,48.09,2.19,1.09,0,28.41,1.09,0,0,0,6.56,1.09,16.39,134.42,31.69,32.79
108-118,0.77,0,0,0,6.89,1.53,1.53,13.02,0.77,2.3,9.96,66.64,9.19,0,8.43,8.43,0.77,33.7,1.53,1.53,65.87,337.79,0,42.13,31.4,62.04,55.15,0,0,0,42.89,0,0.77,0,0,3.06,2.3,7.66,98.04,19.15,29.87
120,0,0,0,0,5.88,1.96,0,11.76,0,1.96,1.96,50.95,0,0,21.56,7.84,0,19.6,0,3.92,23.52,323.36,0,35.28,29.4,33.32,70.55,1.96,0,0,31.36,1.96,0,0,0,7.84,1.96,9.8,60.75,29.4,13.72
