stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,xanthophores
  3-4,382.16,8117.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.25,0,0,0,0,0,0
  5-6,257.44,5155.02,0,0,0,0,0,18.39,0,0,0,0,0,0,49.04,6.13,0,0,245.19,0,0,0,0,0,0
  7-9,26.29,7.89,13.14,0,5.26,0,0,76.23,0,0,0,0,0,0,186.64,5.26,0,70.98,0,2.63,0,0,0,0,0
 10-12,0,3.15,6.29,0,6.29,0,0,0,0,0,0,0,0,0,66.09,3.15,0,18.88,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,3,0,0,2,15,0,0,0,0,0,0,3,5,0,1
 24-34,0,0,0,0.82,4.1,0,0,0,0,0,8.21,0.82,0,0,5.75,0.82,0,0,0.82,0,0,0,0.82,0,28.73
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,0.81,0,0,7.25,0,0,0,0,0,0,0,1.61,0,12.89
 48-58,0,0,0,0,1.15,0,0,0,0,0,2.3,0.57,0.57,0,1.72,0,0,0,0,0,0,0,0.57,0,6.31
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0,0,9.82
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,2.12,0,1.06,0,0,2.12,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,3.19
 96-106,0,0,0,0,3.28,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0.77,3.83
