stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,1,0,0,0,0,0,0,0,0,2,0,2,19,0,1,0,1,1,12,0,0,0
 24-34,0.82,1.64,0,0,0,0,0.82,0,0,0,0.82,2.46,0,0,18.88,0,0,0,0,0,1.64,0.82,0,0
 36-46,0,0.81,0,4.83,0,0,0,0,0,0,0,0.81,0,0.81,12.09,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,2.87,0.57,0.57,0.57,0.57,0,0,0,0.57,0,0.57,8.61,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,24.54,0,0,3.93,0,0,0.98,0.98,0.98,0,0,37.3,0,0,0,0,0,7.85,0,0,0
 72-82,0.98,0,0,8.83,0,0,1.96,0,0,0,0,4.91,0,0.98,22.58,0,0,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,0,3.19,0,0,5.31,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,1.09,0,5.46,1.09,0,4.37,0,0,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,0,0,0,0.77,0,0,4.6,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0
