stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,62,0,2,0,0,0,0
 24-34,0,8.21,0.82,0,0,0,0,3.28,0.82,0,4.93,22.16,0,0,0,0,2.46,0,13.13,2.46,2.46,0,0,0,0
 36-46,0,3.22,2.42,0,0,0,0,4.03,0.81,0,3.22,54.79,0,0,0,0,0,0,13.7,0,3.22,0,0,0,0
 48-58,0,4.59,5.16,1.15,0,3.44,0,2.3,6.31,0.57,2.87,47.05,0,0.57,0,0,0.57,0,9.18,0,0.57,0,0,0,0
 60-70,0,9.82,9.82,0.98,0,1.96,0,3.93,5.89,0,3.93,80.48,0.98,0,0,0.98,0.98,0,11.78,0,2.94,0,0.98,0,0
 72-82,0,1.96,7.85,0,0,3.93,0,3.93,9.82,0,0.98,69.7,0,0,0,0,0,0,3.93,0,1.96,0,0,0.98,0
 84-94,0,13.81,5.31,1.06,1.06,2.12,1.06,2.12,4.25,0,1.06,25.49,2.12,1.06,0,0,1.06,0,4.25,0,1.06,0,0,0,0
 96-106,0,15.3,5.46,1.09,0,0,0,2.19,4.37,0,0,20.76,0,2.19,0,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,22.21,6.89,1.53,1.53,0.77,0.77,3.06,3.06,0,0,33.7,1.53,0.77,0,0,1.53,0,8.43,0,1.53,1.53,0,0.77,0.77
120,0,27.44,1.96,0,9.8,1.96,1.96,0,5.88,0,0,41.16,0,3.92,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0
