stage,axial,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,7.39,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,2.3,0,0,0,0,0.57,0,2.3,0,0,0,0,0,0.57
 60-70,0,0.98,0.98,0,0,0.98,0,0,0.98,4.91,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0
