stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,7,0,2,0,2,1,0,1,0,0,0,11,0,2,14,2,0,0,0,0,0,1,0,0,15,0,8,0,0
 24-34,0,0,0,1.64,0,0.82,1.64,0.82,0,0,3.28,0.82,0,0,52.53,0,10.67,52.53,0.82,0,0.82,0,0,0,0,0.82,1.64,49.25,0,44.33,0,0
 36-46,0,0.81,0.81,0,0,4.03,1.61,0.81,0,0,0.81,0,0,0,29,0.81,5.64,53.17,0,0,0,0,0,0,0,0.81,0,49.95,0,24.98,0,0
 48-58,0,0,0,0,0,4.02,1.15,1.15,0,0,1.72,0,0,0,36.15,0.57,4.59,24.67,0,0,0,0,0,0,0,1.72,0,36.15,0.57,21.8,0,0.57
 60-70,0,0,0,0,0,2.94,2.94,0,0,0,0,0.98,0,0,49.08,0.98,5.89,38.28,0,0,0.98,0,2.94,0,0,1.96,0,23.56,0,14.72,0,0
 72-82,0,0.98,0.98,0,0,6.87,1.96,3.93,0.98,0,0.98,0,0,0,79.51,1.96,2.94,54.97,0,0,0,0,0.98,0,0,1.96,0,8.83,1.96,47.12,2.94,0
 84-94,0,0,0,0,0,9.56,2.12,4.25,1.06,0,0,0,0,0,39.3,0,4.25,25.49,0,0,0,0,0,0,0,4.25,0,7.43,0,43.54,0,0
 96-106,0,1.09,1.09,0,0,7.65,2.19,3.28,1.09,0,1.09,0,1.09,0,25.14,0,3.28,36.06,0,0,0,0,1.09,1.09,0,3.28,0,13.11,2.19,28.41,1.09,0
108-118,0,0,1.53,0,0.77,4.6,1.53,1.53,1.53,0,0,0,0,0.77,39.06,1.53,2.3,29.11,0,0,0,0,3.83,0,0,0,0,3.06,2.3,25.28,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,27.44,0,0,31.36,0,1.96,1.96,0,0,0,0,0,0,1.96,0,21.56,1.96,0
