stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,144.96,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0.57,0,0.57,0,0,0,0,0.57,0,1.15,8.61,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0
 60-70,0,0,0,3.93,1.96,3.93,0,1.96,0,0,0,0,1.96,0,0,16.69,0,0,0,0,2.94,0,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,1.96,13.74,0,4.91,0,0.98,0,1.96,0,0,3.93,0,0,29.45,0,0.98,0,0,2.94,0,0,0.98,0,0,3.93,0,0,0,2.94
 84-94,0,0,1.06,6.37,1.06,6.37,1.06,3.19,0,0,0,0,1.06,0,5.31,15.93,0,2.12,0,0,4.25,0,0,3.19,7.43,0,2.12,0,0,0,0
 96-106,0,0,4.37,30.6,3.28,12.02,3.28,7.65,0,3.28,0,0,7.65,0,6.56,31.69,0,1.09,0,1.09,2.19,0,0,3.28,3.28,0,0,0,0,1.09,1.09
108-118,0,0,5.36,30.64,1.53,19.15,3.06,4.6,0,3.06,0.77,0.77,4.6,0.77,2.3,37.53,0.77,0.77,0,0,6.13,0,0,0,11.49,0,0,1.53,0.77,0.77,0
120,0,0,0,31.36,3.92,15.68,1.96,3.92,0,5.88,0,0,5.88,0,3.92,27.44,0,1.96,0,0,11.76,0,0,3.92,1.96,0,0,0,0,0,1.96
