stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,7.89,0,2.63,0,0,0,0,78.86,0,44.69,0,0,0,0,0
 10-12,0,0,9.44,0,3.15,6.29,0,0,0,0,0,0,59.79,3.15,18.88,0,3.15,0,0,0
 14-21,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,0,0,5.74,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77
