stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,10.51,0,2.63,2.63,0,0,0,0,0,0,0,55.2,0,0,0,23.66,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,40.91,3.15,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,5,1,7,0,0,0,0,0,3,3,51,0,0,0,0,7,2,7,0,0
 24-34,0,0,0,0,0,7.39,0,0,0,0,0,3.28,0,41.86,0,0,0.82,0,0,1.64,9.03,0,0.82
 36-46,0,0,0,0,0,8.06,0,0,0,0,0,5.64,1.61,25.78,0,1.61,0,0,0,0,4.83,0,0
 48-58,0,0,0,1.72,0,20.66,0,2.3,0,0,0,6.89,0,20.66,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,4.91,0.98,0.98,0,0,0,2.94,0,4.91,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,0.98,4.91,0,0,0.98,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,0,0,0,1.09,0,4.37,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,1.53,0,0,0,2.3,1.53,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,5.88,0,3.92,0,0,0,0,0,0,0,0,1.96
