stage,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,13.18,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,0,0,0.57,1.15,0,0,0
 60-70,0,0.98,1.96,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0
