stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,4,0,7,0,0,0,4,1,1,0,0,0,0,0,0,0,9,0,0,11,79,4,0,0,2,3,0,9,2,2,21,42,0,0,0,0,0
 24-34,0,0,0,2.46,3.28,3.28,0,34.48,0,2.46,0,3.28,0,1.64,1.64,0,0.82,0,1.64,2.46,0,20.52,0,0,15.6,248.72,1.64,3.28,5.75,0,6.57,0,0,0.82,0,5.75,52.53,0,0,9.03,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,57.2,0.81,0.81,0.81,17.72,0,0,1.61,0.81,0.81,0,0.81,0,1.61,21.75,0,0.81,5.64,267.48,3.22,4.83,3.22,0,6.45,0.81,0,0,0,0,52.37,0,0.81,2.42,0,3.22
 48-58,0,0,0,0,3.44,0.57,0,92.96,1.15,1.72,1.72,24.67,0.57,0,0,0,0.57,0,1.15,0,0,31.56,0.57,0,8.03,187.06,0,4.59,1.72,0,8.61,0,0,0.57,0,0,44.76,0,0,3.44,0,0
 60-70,0,0,0,0,3.93,1.96,0,156.06,0,1.96,4.91,38.28,2.94,0,0.98,0.98,0.98,1.96,0,0,0,76.56,0.98,0.98,6.87,224.77,0.98,3.93,0.98,0,9.82,0,0,1.96,0,0,31.41,0,0,2.94,0.98,3.93
 72-82,0,0,1.96,0,9.82,6.87,0,97.18,0,0,5.89,38.28,3.93,0,0.98,3.93,0,0,2.94,0.98,0.98,77.55,0.98,0.98,8.83,171.79,0,4.91,2.94,0,17.67,0,0,0.98,0,0,12.76,0.98,3.93,9.82,0.98,0.98
 84-94,0,0,4.25,0,20.18,4.25,1.06,76.47,1.06,4.25,4.25,36.11,6.37,1.06,2.12,10.62,4.25,1.06,1.06,0,0,65.85,0,4.25,9.56,114.7,0,5.31,4.25,0,39.3,0,0,2.12,0,0,6.37,3.19,0,7.43,1.06,1.06
 96-106,0,0,3.28,0,10.93,1.09,0,50.27,1.09,1.09,2.19,27.32,6.56,0,1.09,5.46,2.19,2.19,5.46,1.09,1.09,50.27,1.09,5.46,7.65,72.13,0,4.37,5.46,0,42.62,1.09,0,1.09,0,0,3.28,0,3.28,3.28,2.19,3.28
108-118,0,0,0,0.77,22.98,6.13,2.3,38.3,0,3.83,0,21.45,0,0,0.77,7.66,4.6,0.77,0.77,1.53,0,31.4,0.77,1.53,7.66,85.79,0,3.83,5.36,0,17.62,0,0,0.77,0,0,3.83,0,0,2.3,0.77,3.83
120,0,0,1.96,0,23.52,5.88,1.96,23.52,0,1.96,0,15.68,5.88,0,1.96,1.96,0,1.96,1.96,1.96,0,25.48,0,0,3.92,84.27,1.96,7.84,0,0,15.68,1.96,0,0,1.96,0,1.96,1.96,0,5.88,0,1.96
