stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,36.78,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,52.57,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,12.59,0,0,40.91,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,5,3,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3,39,1,1,0,1,0,10,1,2,9,0,0,0
 24-34,0,0,0,2.46,0.82,4.93,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,4.1,37.76,0,1.64,0.82,0,0.82,0,0,0,11.49,5.75,0,0
 36-46,0,0,0,3.22,0,6.45,0,0,0.81,0.81,0,0,0,0,0,0,0,8.06,0,0,3.22,27.39,0,0,1.61,0,1.61,0,0.81,0,8.06,1.61,0,0
 48-58,0,0,0.57,0,0,12.62,0.57,0.57,2.3,0,0,0,2.3,0.57,0,0.57,0,13.77,0,0.57,2.3,21.8,0,0,0,0,1.15,0,0,0,2.87,1.15,0,0
 60-70,0,0,0,0,0,11.78,0,0,1.96,0,0,0.98,0,0,0,0,0,22.58,0,0,0.98,23.56,0,0.98,0,0,0,0,0,0,5.89,0.98,0,0.98
 72-82,0,0,0,3.93,0,10.8,0,0,3.93,0,0,0.98,0.98,0,0,0,0,18.65,0,0,3.93,16.69,0,0,0.98,0,0.98,0,0,0,1.96,2.94,0.98,0
 84-94,0,0,0,2.12,0,10.62,0,0,2.12,0,0,1.06,2.12,0,0,0,0,12.74,0,1.06,0,9.56,0,0,0,0,2.12,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,3.28,0,4.37,1.09,0,3.28,0,0,2.19,2.19,0,0,0,0,18.58,0,2.19,0,19.67,0,0,1.09,0,4.37,0,0,0,1.09,2.19,1.09,0
108-118,0,0,0,3.06,1.53,6.13,0.77,0.77,3.83,0,0,0,0.77,0,0.77,0,0.77,12.26,0.77,0.77,2.3,13.79,0,0.77,0.77,0,0,0,0,0,2.3,2.3,1.53,0
120,0,0,0,7.84,0,1.96,0,0,3.92,0,0,1.96,0,1.96,0,0,0,5.88,0,0,0,9.8,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,0
