stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,3.15,0,0,0,0,0,182.52,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,11,1,0,2,0,0,0,0,15,98,0,0,1,0,0,1,1,2,0,0,10,3,0,2,1,0,2,1,1,2,0,1,16,0,0,1,0
 24-34,0,0,0.82,15.6,2.46,0.82,0,0,0,1.64,0,0,4.93,28.73,4.1,0,4.1,0,0,2.46,1.64,8.21,0,0.82,12.31,0,0,0,0,0.82,2.46,0,0,3.28,0.82,0,6.57,0,0,2.46,0
 36-46,0,0,0,2.42,0,0,0,0.81,0,1.61,0,4.03,3.22,0.81,5.64,0,0.81,0,0,0.81,5.64,16.92,0,4.03,5.64,1.61,0.81,0,0,0,1.61,0,0,3.22,0,0,7.25,0,0,4.03,0
 48-58,0,0,0,2.3,1.15,0,0,1.72,0.57,0.57,0,11.48,1.15,1.15,10.9,0,0.57,0,0.57,1.15,8.03,13.77,0,1.15,5.74,0.57,0,0,0,0,0,0,0,2.3,0,0,15.49,0,0,10.33,0
 60-70,0,0,1.96,0,0,0,0,0.98,0,0.98,0,4.91,12.76,0,8.83,0,1.96,0,0,1.96,22.58,10.8,0,4.91,0.98,0,0.98,0,0,0,0.98,0,0,3.93,0,0,12.76,0,0.98,13.74,0
 72-82,0,0,2.94,0.98,6.87,0.98,0,3.93,0,1.96,0,18.65,51.05,0.98,24.54,0,0,0,0.98,3.93,61.84,44.17,0,5.89,8.83,0,1.96,0.98,0,0.98,0,0,0,3.93,0,0,22.58,0.98,3.93,20.61,0
 84-94,0,0,5.31,6.37,7.43,2.12,0,5.31,0,1.06,0,12.74,124.26,1.06,14.87,1.06,3.19,0,1.06,18.05,44.61,30.8,1.06,9.56,7.43,1.06,6.37,2.12,0,1.06,1.06,0,0,3.19,0,0,20.18,0,2.12,33.99,0
 96-106,0,0,6.56,13.11,8.74,1.09,0,7.65,0,2.19,0,4.37,138.79,1.09,31.69,0,3.28,0,0,14.21,60.11,41.53,1.09,0,15.3,0,12.02,2.19,0,4.37,4.37,0,0,6.56,0,0,22.95,0,3.28,38.25,0
108-118,0,0,7.66,9.96,9.19,1.53,1.53,3.06,0,3.06,1.53,6.13,150.89,0,13.79,0,5.36,0.77,0.77,15.32,31.4,31.4,0,6.89,13.79,0.77,4.6,0.77,0,6.13,6.13,0,0,3.83,0,0,9.19,0,0.77,28.34,0.77
120,0,0,1.96,0,11.76,1.96,1.96,3.92,0,0,0,7.84,62.71,0,13.72,1.96,1.96,0,0,13.72,50.95,23.52,0,5.88,11.76,0,5.88,0,1.96,9.8,15.68,1.96,0,3.92,0,0,13.72,0,0,25.48,0
