stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.77,0,7.89,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,259,0,3,0,0,0,18,0,2,0,0,101,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0,0.82,0,10.67,0,0,0,0,0,1.64,1.64,0,4.1,0,0,0,1108.98,0.82,47.61,11.49,0,0,15.6,0,0,0,0,280.73,0,0,2.46,0,1.64
 36-46,0,0,0,0,3.22,0,0,100.71,0,0,0,70.9,0,0,0.81,0,0,1.61,0,0.81,7.25,0,0,3.22,2468.57,0,70.09,9.67,0,0,10.47,0,0,0,0.81,460.84,0,0,0.81,0,1.61
 48-58,0,0,0,0,8.61,2.3,0,434.94,0,0.57,1.15,223.21,0,0,0.57,0,1.15,4.59,0,0.57,25.25,0,1.15,1.15,3173.71,0.57,45.9,10.33,0,0,4.59,0,0,0.57,0,535.36,0,0.57,1.15,0,4.02
 60-70,0,0,0.98,0,8.83,0,0,1083.6,1.96,0.98,1.96,300.35,0.98,0,1.96,0.98,1.96,10.8,0.98,0,44.17,0,0.98,2.94,3789.66,0.98,53,27.48,0,0.98,3.93,0,0,0,0.98,621.3,0.98,0,1.96,1.96,1.96
 72-82,0,0,1.96,0,31.41,7.85,0,1798.4,0.98,0,6.87,364.2,1.96,0.98,0,0,3.93,24.54,0.98,0,71.66,0.98,1.96,2.94,3320.96,0,92.28,57.92,0,1.96,2.94,0.98,0,0.98,0,371.07,7.85,2.94,3.93,0.98,0.98
 84-94,0,0,1.06,0,42.48,6.37,0,1141.69,0,1.06,3.19,269.76,4.25,1.06,3.19,1.06,5.31,40.36,0,1.06,53.1,0,5.31,6.37,1735.37,1.06,91.34,79.65,0,0,7.43,0,0,1.06,0,207.1,33.99,5.31,2.12,5.31,0
 96-106,0,0,3.28,0,41.53,8.74,0,1013.07,0,1.09,0,234.96,6.56,1.09,5.46,2.19,4.37,68.85,3.28,0,52.46,1.09,3.28,5.46,1379.17,2.19,135.51,96.17,0,1.09,12.02,2.19,0,0,0,89.61,64.48,4.37,2.19,3.28,1.09
108-118,0,0,1.53,0,19.15,3.83,2.3,743.75,0.77,3.06,1.53,199.15,11.49,0,2.3,0.77,0,41.36,0.77,0,38.3,0,2.3,0,1540.35,1.53,88.09,67.4,0,1.53,9.19,0,0,1.53,0,69.7,78.13,2.3,3.06,2.3,3.06
120,0,0,0,0,35.28,5.88,0,631.05,0,9.8,3.92,274.37,17.64,0,5.88,1.96,0,35.28,1.96,0,47.03,0,0,11.76,2053.86,1.96,78.39,76.43,0,0,7.84,0,0,0,0,99.95,25.48,5.88,5.88,0,1.96
