stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,139.32,0,0,0,28.92,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,286.53,26.29,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,122.73,0,3.15,0,44.06,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,950.38,28.32,0,0,53.5,0,6.29,0,9.44,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,2,5,23,1,0,76,0,1,0,25,0,0,7,0,0,0,0,0,7,0,0,6,2268,2,16,3,1,1,0,6,0,9,56,971,0,0,0,0,0
 24-34,0,0,1.64,0.82,10.67,1.64,0,88.65,0,0.82,0,35.3,0.82,0.82,4.1,2.46,3.28,0,0,0.82,20.52,0.82,0,5.75,5608.09,2.46,8.21,4.93,0,9.85,0,0.82,0.82,2.46,5.75,1425.83,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,4.03,0,0,158.72,0,0,0.81,151.47,0,0.81,3.22,0.81,1.61,0,0,2.42,16.92,0,1.61,7.25,4817.9,2.42,2.42,3.22,0.81,7.25,0,0,1.61,3.22,1.61,1814.37,0,0,3.22,0,0
 48-58,0,0,0.57,0,4.02,1.15,0,221.49,4.02,1.72,0.57,288.05,0,2.87,1.15,0,0.57,0,0.57,1.15,24.1,0.57,0,6.89,1776.5,0,2.3,2.3,0,1.15,0,0,0.57,0.57,0,1157.94,0,0,3.44,0,1.15
 60-70,0,0,0,0,1.96,0.98,0,103.06,3.93,1.96,0,127.6,0,0,0.98,0,0.98,0,0,0,14.72,0,0,10.8,578.12,0.98,0,1.96,0,1.96,0,0,0,1.96,0,308.2,0,0,1.96,0,0
 72-82,0,0,0,0.98,5.89,4.91,0,46.14,5.89,0,1.96,122.71,0,0,0,0,0,0.98,0,0,29.45,0,0,2.94,436.84,0.98,0.98,0.98,0,0,0,0,0.98,1.96,0,102.09,0.98,0.98,0.98,1.96,0
 84-94,0,0,0,0,10.62,0,0,50.98,1.06,0,2.12,64.78,0,1.06,2.12,0,0,0,0,0,15.93,0,1.06,3.19,242.14,0,1.06,0,0,2.12,0,0,1.06,0,0,69.03,0,1.06,4.25,0,0
 96-106,0,0,0,0,5.46,0,0,30.6,4.37,0,0,64.48,0,0,2.19,0,0,0,0,0,15.3,0,1.09,8.74,186.88,0,0,0,0,3.28,0,0,1.09,0,0,16.39,0,1.09,1.09,0,1.09
108-118,0,0,0,0,4.6,0.77,1.53,16.85,1.53,0,0,51.32,0,2.3,2.3,1.53,0.77,0,0,0,13.02,0,0,4.6,220.6,0.77,1.53,0,0,1.53,0,0,0,1.53,0,8.43,1.53,1.53,0,1.53,1.53
120,0,0,0,0,3.92,0,0,11.76,5.88,1.96,0,60.75,0,0,0,0,0,0,1.96,0,17.64,0,1.96,5.88,227.34,0,0,1.96,0,3.92,0,0,0,0,0,13.72,0,0,0,0,0
