stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,18.4,0,0,507.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,47.2,0,0,978.71,0,0,9.44,9.44,0,28.32,0,0,0,0,0,0
 14-21,0,1,1,70,37,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,337,0,0,278,160,4,0,0,7,0,2,1056,2,19,593,5,0,0,1,0,0
 24-34,0.82,0,0.82,65.67,3.28,0,3.28,0,0.82,3.28,2.46,0,0,9.03,0,2.46,1.64,0,1.64,0,746.98,0,0,219.99,97.68,0,0,1.64,0,0,8.21,2.46,2.46,0.82,109.99,10.67,0,0,32.01,0,0
 36-46,0,0,0,45.12,0,0,9.67,0,0,7.25,0.81,0,0,8.86,0,0,0,0,0,0,791.17,0,2.42,211.09,49.95,0,0.81,3.22,0,0.81,2.42,1.61,0,0,0.81,10.47,0,0.81,22.56,0.81,0
 48-58,0,0,0,36.72,1.15,0,29.26,1.15,1.15,12.62,5.74,0,0,16.64,0,1.15,0,0.57,1.72,0,1273.85,0,3.44,130.83,74.59,0,0.57,0,0,1.15,14.92,0.57,0.57,0.57,0,12.62,0,5.16,26.4,0,1.15
 60-70,0,0,0,48.09,0.98,0,39.26,2.94,0.98,7.85,4.91,0.98,0.98,23.56,0,0,0,0.98,0.98,0,1746.13,0,6.87,83.43,63.8,0,0,0.98,0,10.8,15.7,0,0.98,0,0,7.85,0,16.69,21.59,2.94,1.96
 72-82,0,0,0,86.39,0,0,82.46,2.94,0,13.74,14.72,6.87,0,32.39,1.96,0.98,1.96,0.98,0.98,0,2202.85,2.94,13.74,79.51,76.57,0.98,1.96,2.94,0,14.72,21.6,0,0,0,0,8.83,1.96,29.45,60.86,12.76,0.98
 84-94,0,0,0,165.68,2.12,0,123.2,2.12,5.31,8.5,9.56,8.5,0,12.74,2.12,7.43,2.12,0,2.12,0,1630.23,2.12,9.56,60.54,30.8,1.06,0,3.19,0,8.5,73.28,0,1.06,2.12,0,2.12,2.12,28.68,67.97,8.5,1.06
 96-106,0,0,0,229.5,8.74,1.09,93.98,0,10.93,12.02,16.39,4.37,0,37.16,4.37,5.46,1.09,1.09,2.19,1.09,1421.79,3.28,14.21,38.25,84.15,0,2.19,0,0,25.14,99.45,0,1.09,0,0,2.19,4.37,38.25,90.71,10.93,0
108-118,0.77,0,0,229.79,3.06,0.77,30.64,0.77,21.45,9.19,6.89,11.49,0,20.68,3.83,7.66,2.3,0,0,0,1211.75,6.89,10.72,34.47,52.85,0.77,0.77,0,0,22.21,106.47,0,0.77,0,0,0.77,3.06,25.28,55.92,3.06,0
120,0,0,0,145.02,3.92,0,33.32,0,3.92,7.84,1.96,13.72,0,17.64,0,9.8,0,0,5.88,1.96,866.23,5.88,9.8,19.6,56.83,0,0,1.96,0,17.64,60.75,0,0,0,0,0,1.96,19.6,45.08,3.92,1.96
