stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,135.32,6.29,0,0,31.47,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,3,11,0,1,0,2,1,0,0,0,0,0,0,0,0,5,0,0,6,131,2,1,1,2,0,1,1,9,0,0,9,50,0,0,2,0,0
 24-34,0,0,1.64,3.28,16.42,0.82,23.8,0,1.64,0.82,10.67,0.82,0.82,0,0,2.46,0,1.64,0,0,32.83,0.82,0,10.67,365.28,2.46,6.57,7.39,0,0,2.46,0,0,0,0,0,105.89,0,0,3.28,0,0
 36-46,0,0,0.81,0,4.03,0.81,41.89,0,0,1.61,16.11,0,0,0.81,0,0,0,2.42,1.61,0,23.36,1.61,2.42,8.06,481.79,0,10.47,0.81,0,0,4.03,0.81,0,0.81,0,0,116.82,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0.57,79.19,0,2.3,1.15,22.95,0,0,0.57,0,0,0,0.57,0,0.57,24.1,1.15,1.15,7.46,393.63,1.15,4.59,1.15,0,0,1.72,0,0,0,0.57,0,89.51,0,0,3.44,0,0
 60-70,0,0,0,0,4.91,0,150.17,0,0.98,1.96,31.41,0,0,0,0.98,0,0,0,0,0,47.11,0,0,4.91,463.28,0,6.87,1.96,0,0,2.94,0,0,0.98,0,0,76.56,0,0,2.94,0,1.96
 72-82,0,0,0,0,7.85,15.71,220.87,0.98,1.96,2.94,54.97,0.98,0.98,0,0.98,0,0.98,7.85,0,0,80.5,0,1.96,11.78,471.2,0,8.83,5.89,0,0,2.94,0,0,1.96,0,0,56.94,3.93,0.98,3.93,0.98,0.98
 84-94,0,0,1.06,0,11.68,15.93,125.32,0,2.12,2.12,26.55,4.25,0,1.06,2.12,2.12,1.06,0,3.19,1.06,52.04,2.12,4.25,6.37,252.76,1.06,7.43,9.56,0,0,4.25,0,0,0,0,0,40.36,1.06,1.06,8.5,1.06,2.12
 96-106,0,0,2.19,0,19.67,10.93,116.93,0,2.19,1.09,31.69,2.19,0,0,4.37,0,2.19,0,2.19,1.09,55.74,0,1.09,2.19,249.17,2.19,15.3,7.65,0,0,6.56,0,0,1.09,0,0,21.86,2.19,0,5.46,0,3.28
108-118,0,0,0.77,0,20.68,6.89,110.3,0.77,5.36,0.77,32.94,3.06,0,0.77,2.3,0.77,3.83,2.3,0,0.77,46.72,3.06,3.83,6.89,253.53,0.77,9.19,9.96,0,2.3,3.06,0,0,0.77,0,0,14.55,4.6,0.77,0.77,0.77,3.06
120,0,0,0,0,25.48,3.92,111.71,0,5.88,5.88,31.36,0,0,0,1.96,0,0,0,3.92,0,52.91,0,0,7.84,315.53,3.92,17.64,9.8,0,0,3.92,0,0,0,1.96,0,21.56,1.96,1.96,1.96,0,0
