stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,42.91,386.17,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,63.09,2.63,0,5.26,0,0,13.14,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,63.09,76.23,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,15.73,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,166.79,0,0,34.62,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,12,498,3,0,0,0,0,3,1,4,0,0,0,0,0,0,5,0,0,2,45,431,0,0,3,0,2,0,3,2,0,2,19,0,1,0
 24-34,0,0,0,3.28,4.1,783.1,13.95,0,0,0.82,2.46,0.82,0,4.93,0,0,1.64,0,0.82,0,8.21,0,0,3.28,100.97,149.4,0,4.1,0,0,4.93,0,0,4.1,0.82,2.46,22.98,0,4.93,0.82
 36-46,0,0,0,0.81,0,360.13,5.64,0,0,0,4.03,1.61,0,2.42,0.81,0,9.67,0.81,0.81,0,5.64,0,0.81,0.81,69.29,157.11,0.81,7.25,0,0,0.81,0,0,1.61,0,0,11.28,0,4.03,1.61
 48-58,0.57,0,0,0,0.57,425.19,15.49,0,0,0,4.02,1.15,0,1.72,0.57,0,22.38,0.57,1.15,0,6.31,0,0,3.44,41.89,72.87,0.57,6.89,0,0,1.72,0,0,0.57,0,0,10.33,0,6.31,0.57
 60-70,0,0,0.98,0,0,313.11,21.59,0.98,0,0,12.76,6.87,0,0,0,0.98,32.39,1.96,1.96,0,7.85,0,0,0,44.17,32.39,0,1.96,0,0,1.96,0,0,0,0,0,7.85,0,4.91,0
 72-82,0,0,0,0.98,1.96,379.9,7.85,0.98,0,0,17.67,14.72,0,1.96,0,0,37.3,0.98,0.98,0,12.76,0,0,2.94,53.01,26.5,0,4.91,0,0,0.98,0,0,0,0,0,1.96,0.98,7.85,0
 84-94,1.06,0,1.06,0,0,358.97,3.19,1.06,0,1.06,7.43,18.05,0,0,0,0,40.36,1.06,0,0,3.19,0,0,1.06,22.3,25.49,0,4.25,0,0,2.12,0,0,3.19,0,0,2.12,0,2.12,0
 96-106,0,0,0,1.09,3.28,446.97,15.3,1.09,1.09,1.09,9.84,17.49,0,1.09,4.37,0,43.71,8.74,4.37,1.09,20.76,1.09,0,3.28,44.81,26.23,2.19,9.84,0,0,7.65,0,0,2.19,0,0,2.19,0,9.84,0
108-118,0,0,2.3,1.53,1.53,425.11,9.19,0.77,0.77,2.3,6.13,19.92,0,0.77,1.53,0.77,75.83,2.3,3.06,0.77,6.13,1.53,0,1.53,33.7,9.19,0.77,3.83,0,0.77,2.3,0,0,5.36,0,0,0.77,2.3,5.36,0
120,0,0,0,0,7.84,458.59,9.8,0,0,0,11.76,19.6,0,0,1.96,0,37.24,0,0,0,7.84,0,0,0,27.44,13.72,0,5.88,0,0,3.92,0,0,0,0,0,1.96,0,5.88,0
