stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,19,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0
 24-34,0,10.67,0,0,0.82,0,0,0,0,1.64,0,0.82,0,0,2.46,1.64,0.82,0,0,0,3.28,0,0,0
 36-46,0,24.98,0,0,0,0,0,0,0.81,2.42,0.81,0,0,0,4.83,0,0.81,0,0,0,0,0,0,0
 48-58,0,31.56,0,1.72,2.3,0,0,0,0,0.57,0.57,0,0,0,6.31,0,0.57,0.57,0.57,0,2.87,0,0.57,0
 60-70,0,49.08,0,2.94,11.78,0,0,0,0,0.98,3.93,0.98,0,0,5.89,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,51.05,1.96,2.94,9.82,0,1.96,0.98,0,2.94,0.98,0,0,0,7.85,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,161.43,0,6.37,27.61,1.06,0,2.12,0,2.12,2.12,2.12,0,0,4.25,0,1.06,0,0,0,2.12,0,0,0
 96-106,0,183.6,1.09,4.37,34.97,0,2.19,2.19,0,3.28,1.09,3.28,0,0,14.21,0,0,0,1.09,0,0,0,0,0
108-118,0.77,189.96,0.77,3.83,68.17,0,3.83,5.36,0,3.06,3.06,1.53,1.53,0.77,4.6,0.77,1.53,0,0.77,0,0,0,0.77,0
120,0,88.19,0,0,31.36,0,0,1.96,0,1.96,1.96,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0
