stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0.57,1.15,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,0.98,2.94,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,1.06,1.06,0,1.06,2.12,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,0,0,0,4.37,1.09,2.19,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,5.88,0,1.96,0,0
