stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,6.29,0,0,0,0,0
 14-21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,3.22,0,0,0,2.42,0,1.61,1.61,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.72,0,0.57,0,2.3,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,1.96,0,0,0,0,0,0,0.98,8.83,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0,0,0,4.91,0
 72-82,0,4.91,0,1.96,0,0,0,0,0,15.71,0,0.98,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0,1.96,21.6,0
 84-94,0,2.12,0,0,1.06,1.06,0,1.06,0,20.18,1.06,1.06,0,4.25,0,0,1.06,0,0,0,1.06,0,0,0,1.06,2.12,9.56,1.06
 96-106,0,5.46,1.09,5.46,0,0,1.09,1.09,0,26.23,0,1.09,1.09,8.74,0,2.19,1.09,1.09,0,2.19,0,0,0,0,0,0,10.93,2.19
108-118,0,4.6,0.77,0,0,0,0,0,0,23.74,0,0,0,6.13,0.77,0.77,3.06,0,0,0.77,0,0,0,0,0,0.77,12.26,2.3
120,0,7.84,0,1.96,0,0,1.96,0,0,13.72,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,7.84,1.96
