stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,68,3,0,0,3,0,1,1,0,0,0,8,0,2,0,1,0,0,0,172,1,26,0,0,0,46,0,0,0,2,3,0,0,0,0
 24-34,0,0,0,0.82,206.03,0,6.57,0,24.63,0,13.13,2.46,0,0.82,3.28,14.78,0,7.39,0,0.82,6.57,0,0,348.04,0,84.55,3.28,0,0,198.65,0,0.82,0,0,8.21,0,0,4.93,0
 36-46,0,0,0,0,151.47,0,5.64,0,34.64,0,37.06,2.42,0.81,0,4.83,11.28,0,6.45,0,0.81,7.25,0,0.81,290.85,0,53.17,0,0,0.81,204.64,0,0.81,0.81,0,18.53,0,0,2.42,0
 48-58,0,0,0,0,141.16,0,12.05,0,47.63,0.57,25.25,0.57,1.72,0.57,8.03,3.44,0.57,4.59,0,2.87,7.46,0.57,1.72,447.57,0,32.71,0,0,0,125.09,0,0,0,0,13.2,0,0,2.3,0
 60-70,0,0,0,0,157.04,0.98,12.76,0,32.39,0.98,26.5,5.89,0,0,9.82,4.91,0,4.91,0.98,8.83,9.82,0.98,0.98,470.15,0,23.56,0.98,0,0,127.6,0,0,0,0,15.7,1.96,0,5.89,0
 72-82,0,0,0.98,0,148.23,0,23.56,0,40.25,0.98,25.52,11.78,1.96,0,23.56,12.76,0,4.91,0,11.78,8.83,0,0,359.29,0,41.23,0,0,0,141.36,0,0,0,0,6.87,2.94,0,7.85,0.98
 84-94,0,0,1.06,0,281.44,0,21.24,2.12,76.47,0,14.87,19.12,0,0,38.23,24.43,1.06,6.37,0,7.43,8.5,1.06,1.06,165.68,0,26.55,2.12,0,0,360.03,0,1.06,0,0,7.43,5.31,0,5.31,0
 96-106,0,0,2.19,0,227.31,1.09,13.11,0,46.99,0,15.3,28.41,1.09,0,40.44,17.49,0,3.28,1.09,7.65,10.93,0,2.19,96.17,1.09,38.25,0,0,0,231.68,0,0,0,0,1.09,7.65,0,6.56,2.19
108-118,0,0,0,0,230.55,0.77,7.66,0,83.49,0.77,13.02,29.87,0,0,35.23,22.21,0,1.53,0.77,8.43,8.43,0.77,0,125.62,0,31.4,0.77,0,0,165.45,0,0,0,0,0,21.45,0.77,3.83,0
120,0,0,0,0,217.54,0,19.6,0,60.75,1.96,13.72,33.32,0,0,41.16,17.64,0,11.76,0,1.96,7.84,0,0,119.55,0,41.16,1.96,0,1.96,184.22,0,0,0,0,0,11.76,0,3.92,0
