stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,83,35,0,58,0,2,0,9,3,27,4,2,37,0,0,4,4,37,4,0,36,412,25,5,5,7,0,16,7,116,41,73,528,141,0,0,7,0,4
 24-34,0,6.57,7.39,60.74,10.67,0,270.88,19.7,14.78,4.1,44.33,1.64,3.28,4.93,12.31,133.8,0.82,7.39,7.39,8.21,126.41,22.16,0,75.52,1594.92,15.6,34.48,23.8,0,0,67.31,0,0,30.37,79.62,251.18,365.28,0,0,50.89,0,15.6
 36-46,0,0.81,0.81,29,3.22,0,405.25,19.34,5.64,8.06,99.9,2.42,1.61,6.45,16.92,56.4,6.45,7.25,4.83,4.03,173.22,16.11,1.61,53.98,1379.31,10.47,25.78,15.31,0,0,82.98,2.42,0,12.89,90.23,9.67,381.89,0,0.81,32.23,0.81,11.28
 48-58,0,1.15,1.15,36.72,8.61,0,704.06,54.51,8.03,19.51,186.49,6.31,0,5.74,18.94,29.84,7.46,10.9,12.05,5.16,286.33,6.89,10.33,63.12,1081.62,8.03,21.23,11.48,0,2.3,60.25,0,0,11.48,118.78,0,308.71,0,1.72,28.12,0.57,17.79
 60-70,0.98,0.98,0,47.11,5.89,0,895.15,51.04,13.74,9.82,218.88,33.37,0,4.91,14.72,36.32,13.74,11.78,21.59,0,348.44,8.83,10.8,54.97,903.98,3.93,27.48,21.59,0.98,1.96,60.85,0,0,14.72,64.78,0,133.49,4.91,8.83,25.52,2.94,7.85
 72-82,0,10.8,0,72.64,23.56,2.94,853.06,29.45,8.83,20.61,318.06,84.42,0.98,7.85,42.21,69.7,5.89,16.69,35.34,1.96,425.06,18.65,15.71,56.94,1015.04,3.93,31.41,31.41,0,4.91,34.36,0,0,18.65,36.32,0,83.44,20.61,16.69,62.83,19.63,10.8
 84-94,0,12.74,2.12,104.08,14.87,15.93,640.41,54.16,24.43,11.68,196.48,150.81,1.06,3.19,47.79,103.02,14.87,16.99,88.15,6.37,333.48,16.99,21.24,54.16,583.06,7.43,49.92,37.17,0,2.12,159.31,0,0,43.54,78.59,0,54.16,52.04,16.99,43.54,16.99,6.37
 96-106,0,16.39,1.09,135.51,31.69,12.02,498.34,68.85,16.39,8.74,169.39,193.43,0,13.11,79.78,133.33,17.49,32.79,116.93,0,265.56,16.39,14.21,56.83,499.43,12.02,75.41,48.09,0,7.65,111.47,1.09,0,56.83,61.2,0,24.04,63.39,12.02,59.01,20.76,7.65
108-118,0.77,3.06,4.6,98.81,23.74,16.09,378.39,34.47,13.79,6.13,165.45,133.28,0,5.36,52.85,94.21,20.68,21.45,114.13,6.13,190.72,6.89,3.83,45.19,609.71,6.13,55.15,26.81,0,0.77,90.38,0,0,29.87,42.89,0,18.38,43.66,4.6,42.89,9.19,9.96
120,1.96,3.92,0,99.95,31.36,15.68,329.24,25.48,17.64,7.84,150.9,123.47,0,3.92,101.91,58.79,11.76,13.72,68.59,1.96,145.02,11.76,3.92,47.03,678.09,13.72,35.28,41.16,0,1.96,94.07,0,1.96,33.32,5.88,0,19.6,21.56,3.92,41.16,7.84,5.88
