stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,18.88,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,3,12,7,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,25,0,1,2,2,1,0,7,1,8,3,0,1,0
 24-34,0,3.28,14.78,0,1.64,0,0,0,0.82,0.82,0,1.64,0,2.46,0,0,1.64,0,0,1.64,21.34,0,0.82,4.1,0,12.31,0,0,0.82,2.46,9.03,0,3.28,0
 36-46,0,0,1.61,0,3.22,0,0,0,0,0.81,0,0.81,0,0,0.81,0,5.64,0,0,2.42,7.25,0,0.81,5.64,0,11.28,0,0,0,0,3.22,0,1.61,0
 48-58,0,0,1.15,0,2.87,0,0.57,0,1.15,0.57,0.57,0,0,1.15,0.57,0,2.87,0,0,0,9.18,0,0,0,0,2.87,0,0,0.57,0,2.3,0,0,0
 60-70,0,0,0.98,0,8.83,0,0,0,1.96,0.98,0,1.96,0,1.96,0,0,2.94,0,0.98,0,3.93,0,0.98,1.96,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0.98,14.72,0,0,0,7.85,0,0,0,0,1.96,1.96,0,3.93,0,0,2.94,18.65,0,0,6.87,0,1.96,0,0,0.98,0,1.96,0.98,0.98,0
 84-94,0,0,1.06,1.06,5.31,0,1.06,1.06,4.25,2.12,0,2.12,0,1.06,0,0,3.19,1.06,0,2.12,4.25,0,1.06,7.43,0,19.12,0,0,2.12,0,0,1.06,2.12,0
 96-106,0,0,8.74,0,12.02,1.09,0,1.09,9.84,4.37,0,0,0,6.56,0,0,6.56,0,0,2.19,3.28,0,1.09,13.11,0,4.37,0,0,0,0,0,0,4.37,1.09
108-118,0,0,8.43,0,2.3,0,1.53,0.77,5.36,3.06,0,1.53,0.77,4.6,3.83,0.77,3.83,0.77,0.77,2.3,16.85,0,0.77,15.32,0,8.43,0,0,1.53,0,1.53,0.77,2.3,0
120,0,1.96,19.6,0,5.88,0,1.96,1.96,3.92,3.92,0,0,1.96,3.92,1.96,0,5.88,3.92,0,0,7.84,0,1.96,11.76,0,17.64,0,0,1.96,0,0,0,0,0
