stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,42.06,0,0,23.66,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,1,0,3,1,6,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0.82,3.28,0,2.46,13.95,0,0.82,0,0,0,0,7.39,0.82,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,0,15.31,0,0,0,0.81,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,3.44,0.57,0,1.15,0,0,0,0,2.87,0,0.57,6.31,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0.98,0,0,8.83,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,4.91,0,0,1.96,0,0,0,0,1.96,0.98,0,3.93,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,4.25,0,1.06,1.06,0,1.06,0,0,2.12,0,0,5.31,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0.77,2.3,0,0,0.77,0,1.53,0.77,0.77,6.89,0,0,0,1.53,0,0,0,1.53,0
120,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
