stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,99.89,0,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,62.94,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,3,2,0,0,0,0,3,0,0,0,1,0,6,0,0,5,57,1,0,0,0,0,1,0,2,0,11,10,79,0,0,2,0,0
 24-34,0,0,0,0.82,2.46,0.82,2.46,0.82,0,1.64,1.64,0,1.64,0,0,0,2.46,13.95,0,0,10.67,294.69,0,3.28,0.82,0,0,4.1,0,0,0.82,3.28,8.21,203.57,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,19.34,0,0,0.81,4.83,0,0.81,0,0,0,1.61,12.09,0,1.61,3.22,638.9,0,8.06,1.61,0,0,2.42,0.81,0,0,0,0,273.93,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,122.22,0.57,0.57,1.15,8.61,0,0.57,0,0,0,1.72,16.07,0,1.15,2.87,930.71,0.57,3.44,0.57,0,0,2.3,0,0,0,0,0,206.57,0,0,1.15,0,2.3
 60-70,0,0,0,0,4.91,0,645.84,0,1.96,0,28.46,0,0.98,0,0,0,0,24.54,0,1.96,2.94,1257.33,0.98,1.96,0.98,0,0,4.91,0.98,0,0.98,0,0,185.51,0,0.98,1.96,0.98,4.91
 72-82,0,0,0.98,0,3.93,1.96,731.34,2.94,0.98,2.94,53.01,0.98,0,0.98,0,0,0,22.58,0,0.98,5.89,919.82,0.98,3.93,0.98,0,0.98,2.94,0,0,0.98,0,0,86.39,0,1.96,1.96,1.96,0
 84-94,0,0,0,0,8.5,2.12,357.91,0,0,3.19,57.35,0,1.06,1.06,0,1.06,0,18.05,1.06,2.12,2.12,467.3,0,1.06,1.06,0,0,1.06,0,0,1.06,0,0,54.16,0,6.37,0,2.12,3.19
 96-106,0,0,0,0,4.37,1.09,262.28,2.19,1.09,0,53.55,0,1.09,3.28,0,1.09,1.09,13.11,1.09,1.09,4.37,339.88,0,2.19,2.19,0,0,1.09,0,0,0,0,0,21.86,0,5.46,0,4.37,0
108-118,0,0,0,0,6.89,1.53,213.7,0,0,0.77,41.36,0,0.77,2.3,0,0.77,0,13.02,0,1.53,0,359.24,1.53,2.3,0,0,0,0,0,0,1.53,0,0,16.85,0,0.77,0,4.6,1.53
120,0,0,0,0,11.76,0,178.34,0,0,0,56.83,0,1.96,0,1.96,0,0,7.84,0,0,3.92,448.79,0,5.88,5.88,0,1.96,0,0,0,0,0,0,31.36,1.96,0,0,5.88,1.96
