stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,26,0,0,0,0,3,16,0,0,0,0,3,0,6,0,0,1,0,1,1,4,3,2
 24-34,0,0.82,0,1.64,1.64,3.28,0,0,0,4.1,22.16,0.82,0.82,0,0,0.82,0,20.52,0,0,0,0,0,0,0.82,9.03,0.82
 36-46,0,0,0,0,0,3.22,0.81,0,0,5.64,3.22,0,4.03,0,0,0.81,0,28.2,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,4.59,2.3,0,0,1.72,5.16,0.57,8.61,0,0,2.3,0,12.05,0,0,0,0,0,0,0,1.15,0.57
 60-70,0,0,0,0.98,0,3.93,0,0,0,1.96,11.78,0,13.74,0,0,0.98,0,11.78,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,0,1.96,0,0.98,29.45,0,4.91,0.98,0,1.96,0,6.87,0,0,0,0,0,0,0,0.98,4.91
 84-94,0,0,0,0,0,2.12,2.12,2.12,0,2.12,39.3,0,14.87,1.06,0,0,0,6.37,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,7.65,44.81,0,15.3,3.28,0,0,0,3.28,0,0,0,1.09,0,0,0,0,5.46
108-118,0,0,0,2.3,0.77,0.77,0,0.77,0,3.06,45.19,0,17.62,2.3,0.77,0.77,0.77,8.43,0,0,0,0.77,0,0,0,0,4.6
120,0,0,0,1.96,0,1.96,0,3.92,0,5.88,64.67,0,5.88,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,1.96
