stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,25.18,0,0,22.03,0,0,0,0,0
 14-21,0,2,1,1,1,3,0,16,0,0,0,1,0,2,8,0
 24-34,0,0,0,1.64,0,0.82,0.82,11.49,0,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,8.06,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,1.15,0,0.57,0,2.87,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,1.96,0,2.94,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,1.96,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
