stage,blastomeres,erythrocytes,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,slow_muscle,somites,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,11.28,0.81,0,0,1.61,0
 48-58,0,0,0.57,1.72,0,0,0,8.03,0,0,0,0.57,0
 60-70,0,0,2.94,0.98,0,0,0,7.85,0,0,0,0,0.98
 72-82,0,0,5.89,0.98,0,0.98,0,7.85,0,0,0,0,0
 84-94,0,0,2.12,2.12,0,0,0,7.43,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,1.09,0,8.74,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0,0,5.36,0,0.77,0,0.77,0
120,0,0,0,1.96,1.96,0,0,11.76,0,0,0,0,0
