stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,1.96,0.98,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,1.96,0,0.98,8.83,0,1.96,0.98,5.89,0,0,1.96,0,0,16.69,0.98,0.98,67.73,0,0,0.98,0,0,0,0.98,0.98,0,0.98,0.98
 84-94,0,1.06,1.06,0,0,5.31,0,0,0,2.12,0,1.06,1.06,0,0,6.37,0,1.06,27.61,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,4.37,3.28,0,9.84,0,0,0,7.65,4.37,0,1.09,1.09,1.09,7.65,1.09,1.09,55.74,4.37,1.09,7.65,2.19,1.09,0,0,0,1.09,0,0
108-118,0,0,0.77,0.77,0.77,10.72,0.77,0,2.3,3.83,0.77,0,0.77,0,0,2.3,0,0.77,41.36,0.77,0,3.06,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,1.96,0,1.96,1.96,0,0,5.88,0,0,0,0,3.92,3.92,0,0,72.51,1.96,3.92,1.96,0,0,0,1.96,1.96,0,0,0
