stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,15,2,2,0,0,28,1,0,1,2,1,0,0,0,0,0
 24-34,0,0,0,0,32.83,0,0,4.1,0,0,0.82,0,0,0,0,4.93,0,0,0.82,0,0.82,4.93,1.64,0,0.82,32.83,6.57,0,0,0,162.53,0,0,0.82,1.64,5.75,0,0,0,0,0
 36-46,0,0,0,0,16.11,0,0,3.22,0,3.22,0,3.22,0,0,0.81,4.83,0,0,0,0,1.61,0.81,1.61,0,0.81,29.81,8.86,0.81,0,0,165.16,0,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,9.18,0.57,0,10.9,0,2.87,0,3.44,0,0,1.15,5.16,1.72,0.57,0,0,0.57,6.89,2.87,0,0.57,31.56,0,0,0,0,149.76,0,0,0,0,5.74,0,0,0.57,0,1.15
 60-70,0,0,0,0,20.61,0,0,22.58,0,6.87,0,3.93,2.94,0,0,7.85,1.96,0.98,0,0,0,6.87,0,0.98,0,39.26,3.93,0,0,0.98,117.78,0,0,0,0,3.93,0,0,0,0,1.96
 72-82,0,0,0,0,22.58,0,0,107.98,0,6.87,0.98,9.82,2.94,0,0,11.78,6.87,1.96,0,0.98,0,13.74,1.96,1.96,2.94,68.72,3.93,0,0,0,91.29,0,0.98,0,0,1.96,1.96,0,2.94,0,0
 84-94,0,0,0,0,36.11,0,0,101.96,0,4.25,0,5.31,5.31,0,0,21.24,4.25,3.19,3.19,0,0,5.31,5.31,0,0,53.1,2.12,2.12,0,0,288.87,0,0,1.06,0,0,4.25,1.06,0,1.06,0
 96-106,0,0,0,0,29.51,4.37,0,100.54,1.09,3.28,0,2.19,5.46,0,0,29.51,3.28,3.28,4.37,1.09,0,10.93,6.56,0,1.09,75.41,0,0,0,0,205.46,0,0,0,0,0,6.56,0,2.19,0,0
108-118,0,0,0.77,0,35.23,0,0.77,81.19,0,7.66,0,3.83,8.43,0,0,29.87,9.96,0,3.06,0,0,7.66,6.13,0,0,59.75,2.3,0.77,0,0,153.19,0,1.53,2.3,0,0,12.26,0,0,0,0
120,0,0,0,0,39.2,0,0,94.07,0,5.88,1.96,3.92,11.76,0,1.96,31.36,7.84,0,0,0,1.96,11.76,0,0,1.96,54.87,3.92,0,0,0,137.18,0,0,0,0,0,15.68,0,5.88,0,0
