stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,27,0,0,10,0,0,1,0,0,1,57,0,0,1,0
 24-34,0,0.82,0,22.16,0,0,0,3.28,0,0,0,0,0,0,5.75,0,0,2.46,51.71,0,0,2.46,0,0,0.82,0,0,0,30.37,0,0,2.46,0
 36-46,0,0,0,262.65,0.81,0,0,24.98,0,0,0,0,0.81,0,6.45,0,0,1.61,74.12,3.22,0,0,0,0,0.81,0,0,0,31.42,0,0,0.81,0
 48-58,0,0.57,0.57,500.93,2.3,0,0.57,61.4,1.15,0.57,0,0,0,0.57,13.2,0,0,0,117.63,0.57,0,0,0,0.57,0,0,0,0,41.89,0,0,2.3,0
 60-70,0,0.98,0,562.41,0.98,0,0,113.86,0,0,0.98,0,0,0.98,11.78,0,0.98,0.98,69.69,0,0.98,0,0,0,1.96,0,0,0,42.21,0,0,0.98,0
 72-82,0,1.96,0.98,362.23,0.98,0,0,146.27,0,0,0,0,0,0,9.82,0,0,0.98,50.06,0.98,0,0.98,0,0.98,1.96,0,0.98,0,8.83,0,0.98,2.94,0
 84-94,0,1.06,0,178.42,0,0,1.06,73.28,0,0,0,0,0,0,12.74,0,1.06,0,32.92,0,0,1.06,0,0,1.06,0,0,0,12.74,0,1.06,0,0
 96-106,0,4.37,0,149.72,0,0,0,90.71,0,0,0,1.09,1.09,1.09,8.74,1.09,0,1.09,33.88,1.09,2.19,0,0,1.09,2.19,0,0,0,1.09,1.09,0,0,3.28
108-118,0,0,0,115.66,0,0,0,61.28,0,0,0,0.77,0.77,0,8.43,0,0.77,0,22.98,1.53,0,0,0,0,0,0,0,0,0.77,0,0,0,3.06
120,0,0,1.96,109.75,1.96,1.96,0,58.79,0,0,3.92,0,0,0,5.88,0,0,3.92,21.56,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
