stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,34.17,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,236.58,0,0,0,120.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,276.93,6.29,0,0,66.09,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,2,9,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,6,125,3,0,0,2,0,3,0,12,0,7,55,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,35.3,0,0,4.93,0.82,0,0,0,0,0.82,0.82,0,0,20.52,0,0,8.21,210.14,0.82,12.31,1.64,0,0,4.93,0,0,1.64,1.64,41.04,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,43.51,0,0,6.45,0,0,0,0,0,0,0.81,0.81,0,19.34,0,0.81,4.03,150.66,1.61,18.53,0.81,0,0,6.45,0,0,1.61,0,41.09,0,0,0.81,0,2.42
 48-58,0,0,0,0,1.72,0,55.09,0,0.57,9.18,0.57,0,0,0,0.57,0.57,0,0,0.57,21.23,0,1.15,5.74,101.56,0.57,12.05,1.72,0,0,4.02,0,0,0,0,12.62,0,0,1.15,0,1.15
 60-70,0,0,0,0,2.94,0,55.95,1.96,0.98,11.78,0,0,0,0,0,0.98,0,0,0,20.61,0.98,0.98,2.94,80.48,0.98,22.58,0,0,0.98,3.93,0,0,0,0,8.83,0,0.98,2.94,0,0.98
 72-82,0,0,0,0,3.93,0,26.5,0.98,0.98,6.87,1.96,0,0,0,0,0,0,0,0,15.71,0,0,2.94,66.75,0,30.43,2.94,0,0,0.98,0,0,0,0,2.94,0,0.98,3.93,0.98,0
 84-94,0,0,0,0,4.25,2.12,28.68,0,0,8.5,1.06,0,2.12,2.12,0,0,0,0,0,20.18,0,0,0,49.92,1.06,28.68,5.31,0,0,7.43,0,0,0,0,2.12,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,4.37,0,14.21,1.09,1.09,10.93,2.19,0,1.09,2.19,1.09,0,0,0,0,17.49,0,2.19,0,31.69,1.09,37.16,8.74,0,0,3.28,0,0,0,0,2.19,0,1.09,3.28,0,0
108-118,0,0,0.77,0,3.06,0,9.19,0,2.3,9.96,0.77,0,0,1.53,0.77,0,0,0.77,0,13.79,0,0.77,0.77,44.43,0.77,29.11,0,0,0.77,1.53,0,0,0,0,0.77,1.53,0.77,3.06,0,0
120,0,0,0,0,5.88,0,19.6,1.96,3.92,11.76,1.96,0,0,1.96,3.92,0,1.96,0,0,15.68,0,0,1.96,56.83,0,21.56,3.92,0,0,0,0,0,0,0,5.88,0,0,0,0,0
