stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,8.21,0,0,2.46,0.82,0,39.4,0,4.1,0,9.03,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,1.61,0,0.81,0,0.81,0.81,0,0,0,3.22,0,0,1.61,0.81,0,92.65,0,9.67,0,0.81,0,0,0,10.47,0,0,0,0,0
 48-58,0,0,1.72,0,0,8.61,0,0,0,0,0,0,0,0,2.87,0,0,1.15,0,0,125.09,0,4.59,0,4.59,0,0,0,13.77,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,82.45,0,0.98,0.98,0.98,1.96,0,0.98,0,0.98,0,0,5.89,0.98,0,263.05,0,8.83,0,2.94,0,0,0,29.45,0,0,0,0,0
 72-82,0,0,0,5.89,1.96,160.99,0,0,0.98,5.89,2.94,0,0,0,1.96,0,0.98,7.85,0,0.98,358.31,0,12.76,0,0.98,0,0,0,23.56,0.98,0.98,0,0.98,0
 84-94,0,0,0,5.31,0,106.2,0,0,1.06,7.43,2.12,0,0,0,6.37,1.06,0,6.37,2.12,0,206.04,0,7.43,2.12,7.43,0,0,0,12.74,3.19,1.06,0,1.06,1.06
 96-106,0,0,0,5.46,2.19,108.19,0,0,0,9.84,6.56,0,0,0,2.19,0,1.09,8.74,0,0,193.43,0,10.93,0,3.28,0,0,0,8.74,0,1.09,1.09,0,0
108-118,0,0,0,3.06,0.77,91.15,0.77,0,0,13.02,4.6,0,0,1.53,3.06,0,0.77,0.77,0.77,0,207.58,0,7.66,0,4.6,0,0,0,3.83,2.3,0,1.53,0,0
120,0,0,1.96,5.88,0,97.99,0,0,0,5.88,1.96,0,0,1.96,3.92,0,0,3.92,0,0,258.69,0,9.8,1.96,3.92,0,0,0,5.88,0,0,0,0,0
