stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,1,5,1,0,1,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,2,23,2,0,0,4,0,0,0,0,0,1,35,0,0,0,0,0
 24-34,0,0,13.13,0,4.93,0,0,0,0,0,0,20.52,0,0,0,0,0,0,1.64,0,9.03,0,0,1.64,56.64,1.64,1.64,0.82,0,0,0,0,0.82,0,0,86.19,0,0,0,0,0
 36-46,0,0,6.45,0,0.81,0.81,0,4.83,0.81,0,0.81,8.06,0,0,0,0,0,0,0,0.81,4.03,0,0,0.81,48.34,0,0.81,0,0,0,0,0,0.81,0,0,58.81,0,0,0,0,0
 48-58,0,0,7.46,0,0.57,0,0,12.62,0,0,0.57,4.02,0,0,0,0,0,0,0,0,6.89,1.15,0,0,56.23,0,0.57,0,0,0,0,0,0.57,0,0,39.02,0,0.57,0,0,1.15
 60-70,0,0,5.89,0,0.98,0,0,40.24,0,0,0,7.85,4.91,3.93,0.98,0,0,0,0,0,10.8,0,0,2.94,54.97,0,2.94,0,0,0,0,0,0.98,0,0,18.65,0,0.98,0,0,4.91
 72-82,0,0,34.36,0,0.98,0,0,71.66,0,0,1.96,12.76,12.76,2.94,0,0,0,0.98,0,0,10.8,0,0,0.98,80.5,0,0.98,0.98,0,0,0.98,0,1.96,0,0,16.69,0,0.98,0,1.96,3.93
 84-94,0,0,28.68,1.06,4.25,0,0,41.42,1.06,0,0,8.5,16.99,3.19,0,2.12,1.06,1.06,0,1.06,5.31,0,0,2.12,35.05,0,2.12,1.06,0,0,1.06,0,1.06,0,0,8.5,0,2.12,0,0,5.31
 96-106,0,0,45.9,0,10.93,0,1.09,20.76,1.09,1.09,0,16.39,36.06,9.84,0,1.09,0,0,0,0,17.49,0,0,0,41.53,0,1.09,2.19,0,0,1.09,1.09,0,0,0,12.02,0,3.28,1.09,4.37,6.56
108-118,0,0,31.4,0.77,6.13,0,0.77,39.06,0.77,1.53,0.77,11.49,26.81,5.36,1.53,0.77,0,1.53,0,0,6.13,1.53,0.77,0.77,54.38,0,1.53,0.77,0,0.77,0,0,0,0.77,0,7.66,0.77,3.06,0.77,0.77,6.89
120,0,0,25.48,0,1.96,0,0,35.28,0,1.96,1.96,9.8,25.48,5.88,0,1.96,1.96,0,3.92,0,5.88,0,0,0,52.91,0,0,0,0,0,0,0,0,0,0,11.76,0,1.96,0,0,1.96
