stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,34.17,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,15.73,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,8.06,0,1.61,2.42,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,4.59,0.57,0,0,0,10.33,0,0,2.87,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,2.94,0,0.98,0,0.98,4.91,0,1.96,4.91,0,0,0.98,1.96,0.98
 72-82,0,0,2.94,0,0,0.98,4.91,0,4.91,0.98,0,11.78,0,4.91,10.8,0,0,0.98,4.91,0
 84-94,0,0,2.12,0,1.06,6.37,3.19,0,6.37,0,0,5.31,0,2.12,10.62,0,0,0,0,0
 96-106,0,0,2.19,0,0,1.09,1.09,1.09,20.76,0,1.09,14.21,0,1.09,6.56,0,0,0,2.19,0
108-118,0,0,3.06,0,1.53,2.3,2.3,0,38.3,0,0,9.96,1.53,0.77,10.72,0,1.53,0,3.83,0
120,0,0,7.84,0,0,1.96,0,0,29.4,0,1.96,9.8,0,1.96,9.8,0,0,0,0,0
