stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,6,0,16,0,0,0,2,0,0,0,2,0,0,0,11,0,0,5,61,0,0,7,0,3,13,2,1,50,17,0,0,0,0,0
 24-34,0,4.93,2.46,0,13.95,0,0,0,0.82,0.82,0,0,0.82,0,0,0.82,2.46,0,0,0.82,48.43,0.82,0,0,0,2.46,0,0,0,2.46,8.21,0,0,1.64,0,0
 36-46,0,0.81,0,0,6.45,0.81,0,0,0.81,0,0,0,0.81,0,0,0,5.64,0,0,1.61,24.17,0.81,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,17.21,0,0,0.57,4.02,0.57,0,0.57,0,0,0,0,3.44,1.15,0,1.72,25.25,0,0,0,0,0.57,0,0.57,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0.98,0,0,16.69,0,1.96,0,6.87,2.94,0,0,0.98,0.98,0,0,3.93,0,0,1.96,23.56,0,0.98,0,0,3.93,0,0,0,0,4.91,0,0,0,0,0.98
 72-82,0,4.91,0,0,19.63,0,0,0.98,5.89,2.94,0.98,0,0.98,0,0,1.96,12.76,0,0,4.91,24.54,0,2.94,0,1.96,2.94,0,0,0,0,4.91,0,0,5.89,0,0
 84-94,1.06,3.19,0,1.06,13.81,0,0,0,7.43,1.06,0,0,1.06,0,0,0,7.43,0,1.06,2.12,16.99,0,0,0,0,7.43,0,0,0,0,1.06,0,2.12,1.06,1.06,0
 96-106,0,2.19,0,0,15.3,0,0,0,3.28,3.28,0,2.19,1.09,0,0,0,3.28,0,0,4.37,16.39,1.09,2.19,0,0,2.19,0,0,0,0,1.09,0,1.09,1.09,1.09,0
108-118,0,1.53,0,0,15.32,0,0,0,3.83,1.53,1.53,0,3.06,0,0.77,0.77,7.66,0,0,2.3,27.57,0.77,1.53,0,0,2.3,0,0,0,0,0,0,0,0,0,0.77
120,0,1.96,1.96,0,9.8,0,3.92,0,1.96,0,0,0,0,0,0,0,3.92,1.96,0,3.92,21.56,1.96,1.96,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,1.96
