stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,22,0,1,0,0,0,0,0,0,3,33,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
 24-34,0,0,0,0,4.93,19.7,0,20.52,0,2.46,1.64,0.82,0,0,15.6,99.32,1.64,0,0,0,0,10.67,0.82,0,4.1,78.8,0.82,0,1.64,0,4.1,0,0,0.82,1.64,16.42,0,0,247.08,0,0
 36-46,0,0,0,0,2.42,5.64,0,34.64,0.81,0.81,3.22,6.45,0,0.81,18.53,132.13,0,0,0,0,0,24.17,0,0.81,7.25,87.82,0,1.61,1.61,0,3.22,0.81,0,1.61,0,16.11,0,0,247.34,0,1.61
 48-58,0.57,0.57,0,0,2.3,15.49,0,52.79,0.57,2.87,4.59,24.1,0,1.72,33.85,140.01,0.57,0,0.57,0.57,0.57,53.94,0,1.15,11.48,90.66,0,0,0.57,0,4.02,0,0,0,0,29.26,0,0,249.61,0.57,4.59
 60-70,0,0,0,0.98,10.8,15.7,0,63.8,0,8.83,0.98,95.21,0,2.94,36.32,161.95,1.96,0.98,2.94,1.96,0,123.67,0,2.94,10.8,54.97,0.98,0.98,0,2.94,4.91,0,0,0,0,17.67,0,0,241.45,0.98,0.98
 72-82,0,0,0,0,37.3,13.74,0.98,76.57,0.98,3.93,5.89,215.97,0.98,0.98,50.06,261.12,0.98,0.98,5.89,0.98,0.98,284.68,0.98,3.93,25.52,92.28,0,1.96,1.96,0,2.94,0,0.98,0.98,0,12.76,0,8.83,452.55,8.83,3.93
 84-94,1.06,0,0,3.19,50.98,16.99,0,88.15,0,6.37,3.19,122.13,7.43,0,39.3,324.98,1.06,0,4.25,0,1.06,168.86,1.06,5.31,10.62,46.73,0,1.06,2.12,4.25,11.68,0,0,0,0,8.5,1.06,6.37,429.06,3.19,0
 96-106,0,0,0,0,160.65,36.06,1.09,130.05,1.09,24.04,6.56,181.41,8.74,0,77.59,462.27,10.93,1.09,12.02,4.37,1.09,397.8,5.46,8.74,19.67,146.44,1.09,5.46,2.19,14.21,31.69,0,4.37,0,0,8.74,0,12.02,578.12,18.58,2.19
108-118,0.77,0,3.06,3.83,105.7,22.98,5.36,65.11,1.53,18.38,5.36,182.3,5.36,0,37.53,383.75,19.15,3.83,12.26,2.3,1.53,357.7,0.77,6.13,19.92,102.64,0,0.77,3.83,6.13,22.21,0,5.36,0,0,3.06,0.77,13.79,456.51,13.79,0.77
120,0,0,1.96,0,82.31,33.32,0,48.99,3.92,9.8,3.92,150.9,5.88,0,56.83,499.75,3.92,0,3.92,3.92,0,286.13,1.96,11.76,13.72,97.99,0,1.96,9.8,7.84,7.84,0,0,0,0,0,0,17.64,529.14,5.88,0
