stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,11,2,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,80,1,0,0,2,1,10,1,0,14,23,0,0,2,0,0
 24-34,0,0,0,0,2.46,0.82,10.67,0,0,0,3.28,0.82,0,0,0,0,0,0,0,10.67,0,0,9.85,106.71,0,0,0.82,0,1.64,0,0,0,3.28,26.27,0,0,3.28,0,0.82
 36-46,0,0,0.81,0,0,0,4.83,0,0,0.81,3.22,0,0,0,0,0,0,0,0,10.47,0.81,0.81,1.61,30.62,0,0,0,0,0.81,0,0,0,0,8.86,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,18.36,0,0,0.57,3.44,0,0,0,0,0,0,0.57,0.57,9.18,0,1.15,2.87,35,0,1.15,0,0,0.57,0,0,0,0,7.46,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,18.65,0.98,0.98,0,11.78,0,0,0,1.96,0,0.98,0.98,0,10.8,0.98,0,0.98,33.37,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,0,8.83,0,0.98,0.98,6.87,0,0.98,0,0,0.98,1.96,0,0,11.78,0.98,0.98,1.96,21.6,0,0,1.96,0,0,0,0,0,0,3.93,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,12.74,0,0,0,2.12,0,0,1.06,0,0,0,0,0,11.68,0,0,0,11.68,0,0,0,0,4.25,0,0,0,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,0,3.28,0,4.37,0,0,1.09,2.19,1.09,0,2.19,1.09,2.19,0,0,0,12.02,0,1.09,3.28,12.02,0,1.09,0,0,8.74,0,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0.77,0,6.13,0.77,3.83,0,0,0,2.3,0.77,0,0,0.77,0,0,0.77,0,9.19,0.77,0.77,2.3,9.96,0,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0.77,0
120,0,0,0,0,5.88,0,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,3.92,0,0
