stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,3.28,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0.57,0,0,0.57,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0.98,0,0,0,1.96
 72-82,0,0,0,2.94,0,0,0.98,2.94,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,1.06,2.12,1.06,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,1.53,0,0,0,3.06,0,0,0,0,0
120,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0,0
