stage,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,3,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,0,0,0,1.64,0,0,0,1.64
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0.57,0,0,0,1.15
 60-70,0.98,0.98,0.98,0,1.96,0,0,0,0.98,0.98,0.98
 72-82,0,0.98,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,1.06
 96-106,0,2.19,0,0,0,0,0,0,0,0,3.28
108-118,0,0.77,0,0,0,0.77,0.77,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,0
