stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,20,0,0,5,1,0,1,0,0
 24-34,0.82,0,0.82,0,0,0,75.52,0,0.82,22.16,0,6.57,0.82,0,0.82
 36-46,1.61,1.61,0.81,0.81,0,0,42.7,0,0.81,8.86,0,9.67,0.81,1.61,0
 48-58,1.15,0,0,0,0,0,10.33,0.57,0,3.44,0,2.3,0,0.57,0
 60-70,4.91,0,0,0.98,0.98,0,9.82,0,0,3.93,0,1.96,0,0,0
 72-82,0,0.98,0.98,0.98,0.98,0,14.72,0,0.98,4.91,0,2.94,0,0.98,0
 84-94,5.31,0,0,0,0,2.12,13.81,0,2.12,10.62,0,0,3.19,0,0
 96-106,13.11,1.09,0,0,0,0,12.02,0,2.19,14.21,0,3.28,0,0,0
108-118,11.49,0,0.77,0,0,0,20.68,0,0,10.72,0,0,1.53,0,0
120,5.88,0,0,0,0,0,7.84,0,1.96,0,0,0,1.96,0,0
