stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,3.28,0,0.82,0,2.46,4.1,0,0,2.46,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0.81,2.42,0,0.81,3.22,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,2.3,0,0,0,1.72,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,4.91,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,3.93,0,0,0.98,1.96,2.94,0.98,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,0,0,0,0,0,6.37,0,1.06,0,2.12,3.19,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,6.56,0,0,10.93,0,1.09,1.09,2.19,5.46,1.09,0,0,0,2.19,0,1.09
108-118,0,0.77,0,0,0,5.36,0.77,0,6.13,0.77,0.77,0,0.77,1.53,0.77,0,1.53,0,0,0,0
120,0,0,0,0,0,5.88,0,0,1.96,0,1.96,0,5.88,3.92,0,0,1.96,0,0,0,0
