stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,4,1,0,2,0,0,0,3,1,1,0,0,0,0,0,0,5,0,0,7,38,0,0,0,0,0,0,2,1,1,3,12,0,1,0,0
 24-34,0,0,0,4.1,0,0,7.39,0,0,0.82,0,0,0,0,0,0.82,0,0,0,11.49,0,0,2.46,100.97,2.46,1.64,0,0,0,0.82,0,0.82,0,0.82,28.73,0,0,0,0
 36-46,0,0,0,0.81,0,0,25.78,0,1.61,0.81,3.22,0,0,0,0,0.81,0,0.81,0,7.25,0,0.81,0,211.89,1.61,0,0,0,0,1.61,0,0.81,0.81,0,49.15,0,0,0,0
 48-58,0,0,0,1.15,0,0,55.09,0,0,0,6.89,0,0,0,0,0.57,0,0.57,0,13.77,0,0.57,2.87,192.8,0,0,0,0,0.57,0.57,0,0,0,0,25.25,0.57,2.3,0,0
 60-70,0,0,0,2.94,0,0,96.19,0,0.98,0,9.82,0,0,0,0,0,0,0,0.98,8.83,0,0,0,150.17,0,0,0,0,0,0.98,0,1.96,0,0,17.67,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,135.47,0.98,0.98,4.91,19.63,0.98,0,1.96,0.98,0,0,0.98,0,23.56,0,1.96,0,183.57,0,0.98,0.98,0,0,1.96,0,0,0,0,16.69,0,0.98,0,0.98
 84-94,0,0,0,4.25,0,0,55.23,0,0,1.06,9.56,0,0,0,1.06,0,0,1.06,1.06,19.12,0,0,0,79.65,0,1.06,1.06,0,0,3.19,0,0,0,0,9.56,0,0,0,0
 96-106,0,0,0,0,1.09,0,52.46,2.19,0,1.09,7.65,0,0,0,0,0,2.19,1.09,2.19,20.76,1.09,0,3.28,65.57,0,1.09,2.19,0,0,1.09,0,1.09,0,0,3.28,1.09,0,2.19,0
108-118,0,0.77,0,4.6,0.77,1.53,36.77,0.77,1.53,0,11.49,0,0,0,0.77,0,1.53,0.77,2.3,9.19,0,0.77,2.3,79.66,0,0.77,0,0,0,0.77,0,0,0,0,3.06,0.77,2.3,0,0.77
120,0,1.96,0,0,0,0,33.32,1.96,3.92,0,3.92,0,0,0,0,0,0,0,5.88,9.8,0,0,0,58.79,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,3.92,0
