stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,4,1,0,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,19,2,0,4,0,0,0,0,3,0,1,18,0,0,1,0,0
 24-34,0,0,9.03,0,8.21,0,0,3.28,0,0,0,7.39,0,0,0,0,0,0,0.82,0,1.64,0,0,0.82,57.46,2.46,1.64,3.28,0,0,1.64,0,0,0,0,51.71,0,0,2.46,0,0
 36-46,0,0,4.03,0,4.03,0,0,3.22,0,0,0,20.14,0,0.81,0,0,0,1.61,0,0,1.61,0.81,0,0.81,100.71,0,0,6.45,0,0,0.81,0,0,0,0,55.59,0,0,2.42,0,0
 48-58,0,0,1.72,0.57,4.02,0,0,16.07,0,0.57,0,60.82,0.57,0,0.57,0,0,0,0,0,6.31,0,0,1.72,158.37,1.15,0.57,8.03,0,0,1.15,0,0,0,0,61.4,0,0,0.57,0,0
 60-70,0,0,2.94,0,2.94,0,0,32.39,0,0,0,145.27,0.98,0.98,0.98,0,1.96,1.96,0,0,15.7,0,0.98,0.98,425.98,0,2.94,10.8,0,0,1.96,0,0,0,0,70.67,0,0,0,0,1.96
 72-82,0,0,7.85,0,3.93,0.98,0,66.75,0,0,0.98,252.29,0.98,0.98,0,0.98,0,2.94,0.98,0,24.54,0,0,3.93,502.61,0,0.98,24.54,0,0,2.94,0,0,0.98,0,56.94,0.98,0,0.98,0.98,5.89
 84-94,0,0,5.31,1.06,7.43,2.12,0,61.6,1.06,0,0,149.75,1.06,0,2.12,0,0,3.19,1.06,0,25.49,0,1.06,5.31,314.36,0,0,11.68,0,0,14.87,0,0,0,0,32.92,0,1.06,4.25,0,16.99
 96-106,0,0,8.74,0,5.46,1.09,1.09,64.48,0,0,1.09,150.81,2.19,1.09,1.09,0,0,1.09,2.19,0,14.21,0,0,1.09,314.74,1.09,0,17.49,0,1.09,8.74,0,0,1.09,0,28.41,1.09,0,3.28,0,24.04
108-118,0,0,3.06,0.77,11.49,0,0,51.32,3.06,0,0,127.92,0.77,0.77,2.3,0,0.77,2.3,0,0.77,9.96,0,0,1.53,308.68,0,1.53,32.17,0,0,6.89,0,0,0,0,17.62,0.77,0,0.77,0.77,20.68
120,0,0,3.92,0,5.88,1.96,0,41.16,1.96,0,3.92,115.63,1.96,0,1.96,0,0,1.96,1.96,0,15.68,0,0,5.88,419.39,1.96,0,25.48,0,0,0,0,0,1.96,0,13.72,1.96,0,0,1.96,11.76
