stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,185,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,20,0,6,50,2,0,5,7,0,2,0,4,0,4,17,0,0,1,0,0
 24-34,0,0,0,45.15,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,17.24,0,0,42.68,0,0.82,82.09,0.82,4.93,23.8,0,0,0,0,0,0,1.64,25.45,0,0,4.1,0,0
 36-46,0,0,0,11.28,0.81,0,2.42,0,0,0,4.03,0,0,0,0,0,0,9.67,0,0,70.09,0,2.42,58.01,0,4.83,6.45,0,0,2.42,0,0,0.81,0,12.09,0,0,16.92,0,0
 48-58,0,0,0,8.61,0,0,4.59,0,0,2.3,1.72,0,0.57,0,0,0,0,10.33,0,0.57,88.37,0.57,2.87,49.35,0.57,5.74,5.16,0,0,0,0,0,0,0,5.74,0,0,20.66,0,0
 60-70,0,0,0,1.96,0,0,5.89,0,0,1.96,4.91,0,0,0,0,0,1.96,19.63,0,0,143.3,0,0.98,47.11,0,9.82,4.91,0,0,0,0,0,0,0,4.91,0,0,12.76,0.98,0
 72-82,0,0,0,5.89,0,0,16.69,0,1.96,2.94,6.87,0,0,0,0.98,0,0,20.61,0,0.98,259.16,0.98,4.91,65.77,0,10.8,5.89,0,0,0,0,0,0,0,1.96,4.91,0,14.72,0,0
 84-94,0,0,0,6.37,0,0,14.87,1.06,1.06,4.25,4.25,0,0,0,0,0,0,44.61,0,0,161.43,0,5.31,35.05,0,38.23,6.37,0,0,0,0,0,0,0,3.19,14.87,1.06,7.43,2.12,1.06
 96-106,0,0,0,8.74,0,1.09,9.84,0,0,3.28,9.84,2.19,0,1.09,2.19,1.09,1.09,38.25,3.28,0,187.97,0,2.19,48.09,0,57.92,4.37,0,1.09,0,1.09,0,0,0,3.28,21.86,0,16.39,2.19,0
108-118,0,0,0,3.83,0,0,8.43,0,0,6.13,6.89,2.3,0,0.77,2.3,0,0.77,32.17,1.53,0,193.02,0,4.6,43.66,0,42.89,2.3,0,0,2.3,0,0.77,0,0,1.53,30.64,0,9.19,1.53,0
120,0,0,0,11.76,0,1.96,15.68,0,0,5.88,5.88,1.96,0,0,0,0,0,11.76,0,0,129.35,1.96,9.8,60.75,0,17.64,0,0,0,1.96,0,0,0,0,0,15.68,0,7.84,0,0
