stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,48,1,0,0,0,0,0,3,1,0,2,19,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,7.39,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,5.75,0,0,1.64,148.57,0,4.1,2.46,0,0,0.82,0,0,0.82,0,22.16,0,0,0.82,0
 36-46,0,0,0,1.61,0,0,38.67,0.81,0,0,10.47,0,0,0,0,0,0,0,0.81,5.64,0,0,2.42,190.94,0.81,3.22,0.81,0,0.81,0.81,0,0.81,0,0,45.92,0,0,1.61,0.81
 48-58,0,0,0,2.3,0,0,70,0,0,0,12.62,0,0,0,0,0,0,0.57,0,8.61,0,0.57,2.3,170.99,0.57,3.44,0,0,0,2.3,0,0,0,0,35.58,0,0,1.15,1.15
 60-70,0,0,0,0.98,0.98,0,103.06,0,0,0.98,12.76,0,0,0,0,0.98,0,0,0,8.83,0,0,3.93,212.01,0.98,2.94,0,0,0,0.98,0,0,0,0,27.48,0,0,0.98,0.98
 72-82,0,0,0,4.91,2.94,0,79.51,0,0,0,16.69,0.98,0,1.96,0,0,0,0,0.98,17.67,0,2.94,1.96,176.7,0,4.91,1.96,0,0,0.98,0,0,0,0,12.76,0,0,1.96,0
 84-94,0,0,1.06,3.19,1.06,0,62.66,0,0,1.06,18.05,0,0,0,1.06,0,3.19,0,4.25,16.99,2.12,0,1.06,93.46,0,2.12,0,0,0,3.19,0,0,0,0,7.43,3.19,2.12,0,3.19
 96-106,0,0,0,3.28,0,1.09,39.34,0,1.09,0,21.86,0,0,2.19,1.09,0,1.09,1.09,0,15.3,1.09,0,2.19,72.13,0,1.09,2.19,0,0,7.65,0,0,0,0,3.28,0,0,3.28,0
108-118,0,0,0,6.89,1.53,0,26.04,0,0.77,0.77,13.02,3.06,0,3.06,1.53,1.53,0,1.53,0.77,11.49,0,2.3,0.77,87.32,0,1.53,3.83,0,0,3.06,0,0,0,0,2.3,0.77,0,0,0
120,0,0,0,7.84,5.88,0,41.16,0,1.96,0,19.6,1.96,0,7.84,0,0,1.96,0,0,15.68,0,1.96,0,111.71,3.92,1.96,3.92,0,0,5.88,0,0,0,0,7.84,0,1.96,0,0
