stage,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,2.3,0,0,0.57,0
 60-70,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0.98,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0.98
 84-94,1.06,0,0,0,0,0,1.06,0,2.12,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,2.19,1.09,1.09,0,0
108-118,0,0,0.77,0,0,0,0,0,1.53,0,0,0,0
120,1.96,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0
