stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177,0,0,1,0,0,1,1,0,2,109,0,1,0
 24-34,0,0,0,8.21,0,0,9.03,0,0.82,2.46,0.82,0,0,1.64,0,0,0,0,0,2.46,0.82,2.46,428.49,0.82,1.64,0,0,0,1.64,0,0,3.28,203.57,0,3.28,0.82
 36-46,0,0,0,0,0,0,8.06,0,0.81,4.03,0,0,0,0,0.81,0.81,0,0.81,0,4.83,0,1.61,438.28,0,1.61,0,0,0,1.61,0,0,0,247.34,0,3.22,0
 48-58,0,0,0.57,0,0,0,21.8,0,0,6.89,0,0,0.57,0,0,0,0,0,1.15,7.46,0,2.3,241,0,0,1.15,0,0,0.57,0,0,0,129.68,0,0.57,0.57
 60-70,0,0,0,0,0,0,18.65,0.98,0,5.89,0,0,0,0,0,0,0,0,0,1.96,0,0,317.03,0,0.98,0,0,0,0,0,0.98,0,82.45,0,0,0
 72-82,0,1.96,0,4.91,1.96,0,48.1,0.98,0,13.74,0,0,0,0,0,0.98,0.98,0,0,14.72,0,0,482.98,0,0,0.98,0,0,1.96,0,0,0,74.61,0.98,0,0.98
 84-94,0,1.06,0,4.25,0,0,32.92,0,0,5.31,0,0,0,0,0,0,0,0,0,3.19,0,0,249.58,0,0,0,0,0,2.12,0,0,0,40.36,0,0,0
 96-106,0,1.09,0,5.46,0,0,38.25,0,1.09,20.76,1.09,0,0,1.09,0,1.09,0,1.09,0,7.65,0,2.19,271.03,0,0,0,0,1.09,0,0,0,0,31.69,0,1.09,0
108-118,0,0,0,1.53,0.77,0.77,51.32,0,0,19.92,0.77,0,0,0,0,0,0,0,0,3.83,0.77,0,360,0,0.77,0,0,0,0,0,0,0,29.87,0.77,0,0
120,0,0,0,1.96,0,0,50.95,0,0,25.48,0,0,1.96,0,0,0,0,1.96,0,5.88,0,3.92,464.47,1.96,0,0,0,0,0,0,0,0,33.32,0,0,0
