stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,3,3,0,0,0
 24-34,0.82,0,0,0,0,0,0,2.46,0,0,0,10.67,0,0,0,0.82,0,0,0,0,0,5.75,0.82,0,0,0
 36-46,2.42,0,0,0,0,0,0,4.03,0.81,0,0,4.83,1.61,0,0,0,0,0.81,0,0.81,0,8.86,0.81,0,0,0
 48-58,1.15,0,0,0,0,0,0,1.72,2.87,0,0,8.03,0,0,0,4.02,0,0.57,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,10.8,0,0,0,18.65,0.98,0,0.98,0,0,0,0,0.98,0,2.94,0.98,0,0,0
 72-82,0.98,0,0.98,0,0.98,0,0.98,21.6,2.94,0,0,57.92,0,0,0,9.82,0,0,0.98,0.98,0,2.94,0.98,0,0,0
 84-94,3.19,0,0,0,4.25,0,1.06,39.3,0,0,0,351.53,3.19,1.06,1.06,7.43,0,0,0,2.12,0,8.5,0,0,1.06,0
 96-106,3.28,3.28,1.09,0,4.37,0,2.19,18.58,6.56,1.09,0,417.47,3.28,0,0,37.16,1.09,0,0,2.19,1.09,12.02,0,0,1.09,0
108-118,7.66,0,1.53,1.53,1.53,0.77,0.77,25.28,7.66,0,0.77,812.69,3.83,0.77,0,32.17,0,0.77,0.77,0.77,0,4.6,0.77,0.77,0.77,0.77
120,0,0,0,0,1.96,0,1.96,11.76,9.8,0,0,256.73,3.92,0,0,19.6,0,0,0,0,0,5.88,0,0,0,0
