stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,2,18,1,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0
 24-34,0,4.93,0.82,0,4.93,0,0,0,3.28,0,0,0,0.82,0,0,10.67,0.82,0,3.28,61.56,2.46,0.82,0,0,0,5.75,0,0,0,0.82,20.52,0,0,1.64,0,0
 36-46,0,1.61,0,0,6.45,1.61,0,0,3.22,0,0,0,0,0,0,8.86,0,0,1.61,58.81,0,0.81,0,0,0,3.22,0,0,0.81,0,19.34,0,0,0.81,0,0
 48-58,0,1.15,0,0,11.48,1.15,0,0,5.74,0,0.57,0,0,0,0,10.9,0,0,1.72,47.05,0.57,0.57,0.57,0,0,1.72,0,0.57,2.3,0,12.05,0,0,1.15,0,0.57
 60-70,0,6.87,0,0,25.52,0,0,0.98,6.87,0,0,0,0,0,0,10.8,0,0,0.98,68.71,0,0,1.96,0,0,0,0,0,2.94,0,19.63,0,0.98,0,0,0
 72-82,0,1.96,0.98,0,43.19,1.96,0.98,0.98,4.91,1.96,0,1.96,0.98,0.98,1.96,15.71,0,0.98,0.98,87.37,0,1.96,0.98,0,0,4.91,0,0,0.98,0,12.76,0,0.98,2.94,2.94,0
 84-94,0,9.56,1.06,0,27.61,1.06,0,0,6.37,0,2.12,0,1.06,1.06,0,6.37,1.06,0,2.12,30.8,1.06,0,0,0,0,1.06,0,0,1.06,0,6.37,0,0,2.12,0,1.06
 96-106,0,4.37,0,0,17.49,0,1.09,0,7.65,1.09,1.09,1.09,0,0,2.19,7.65,0,0,2.19,28.41,0,1.09,1.09,0,0,3.28,0,1.09,0,0,3.28,3.28,0,0,0,0
108-118,0,5.36,0.77,0.77,14.55,0.77,1.53,0,4.6,2.3,0,0.77,0,0,2.3,2.3,0,0,2.3,26.04,0,0,0.77,0,0,1.53,0,0,0.77,0,2.3,3.06,0.77,1.53,0,0
120,0,13.72,1.96,0,7.84,0,1.96,1.96,5.88,0,0,1.96,0,0,1.96,3.92,0,0,5.88,19.6,0,0,0,0,1.96,1.96,0,0,0,0,1.96,5.88,0,1.96,0,0
