stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,527.12,11109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,300.35,3162.89,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,6.13,0,367.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,44.69,0,239.21,0,0,31.54,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,741.3,15.77,0,0,260.24,0,47.32,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,84.97,0,292.67,0,6.29,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281.55,15.73,0,0,525.54,0,25.18,12.59,3.15,320.99,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,15,250,54,17,0,0,0,4,35,0,0,0,3,1,0,0,1,61,0,26,125,0,0,2,14,0,17,0,33,21,2,94,52,0,0,1,0,0
 24-34,0,0,0.82,6.57,14.78,5.75,25.45,0,0.82,0.82,4.93,11.49,0,0.82,6.57,0,0.82,1.64,1.64,0.82,63.21,0,27.09,84.55,0,0.82,0.82,0,0,0.82,0.82,0,0,0,18.88,18.06,0,0,9.85,0,3.28
 36-46,0,0,0,0.81,0.81,4.03,5.64,0,0,0,7.25,2.42,0,0,5.64,0,4.03,0,0.81,0,26.59,1.61,8.06,36.26,0,0,0,0,0,1.61,0.81,0,0,0,0,5.64,0,0,6.45,0,0
 48-58,0,0,0,0.57,0.57,10.9,3.44,0.57,0,0.57,4.02,0.57,0,0.57,6.89,0,2.3,0,0.57,0,17.21,1.72,4.59,15.49,0,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0,3.44,0,0.57
 60-70,0,0,0,0,0,13.74,1.96,0,0,0,5.89,0.98,0,0.98,13.74,0.98,4.91,0,0,0,12.76,0,0.98,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,57.92,4.91,0.98,0,0.98,10.8,0,0,0,22.58,0,0.98,0.98,0.98,0,8.83,0.98,0.98,17.67,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0
 84-94,0,0,0,0,1.06,46.73,7.43,0,1.06,0,8.5,1.06,0,0,38.23,0,3.19,0,0,0,8.5,0,2.12,6.37,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,4.25,0,0
 96-106,0,0,0,0,3.28,41.53,3.28,0,1.09,2.19,8.74,1.09,0,0,52.46,1.09,3.28,1.09,0,0,13.11,2.19,3.28,14.21,0,0,3.28,0,0,1.09,2.19,0,0,0,0,2.19,0,0,9.84,0,0
108-118,0,0,0,0,4.6,42.89,3.06,1.53,0.77,3.06,6.13,0.77,0,0,36.77,0.77,11.49,0.77,0,0,13.79,1.53,5.36,19.92,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0.77,0,12.26,1.53,3.06
120,1.96,0,0,0,1.96,50.95,1.96,1.96,0,3.92,3.92,0,0,0,54.87,0,5.88,0,0,0,11.76,1.96,5.88,27.44,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0
