stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,429.07,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,44.69,0,0,13.14,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,162.98,10.51,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,62.94,0,0,12.59,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,3.15,198.26,22.03,0,0,56.65,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,42,5,5,0,0,0,3,2,0,0,0,1,0,0,1,16,0,0,13,58,1,0,0,4,0,2,0,17,3,1,18,33,0,0,0,0,0
 24-34,0,0,5.75,7.39,0,3.28,0,0,0,2.46,0.82,0,0.82,0,1.64,0,0,3.28,10.67,0,0,8.21,59.92,3.28,0,0.82,0,0,4.93,0,0,2.46,0,2.46,21.34,0,0,0,0,0
 36-46,0,0,0,6.45,0,1.61,0,0,0.81,3.22,3.22,0,0,0,0,0,0,0,14.5,0,0,1.61,29,0.81,0,0,0,0,7.25,0,0,1.61,0,0,9.67,0,0.81,1.61,0,0
 48-58,0,0,0,1.72,0,0.57,0,0,0.57,4.02,0,0.57,0,0,0,0,0,0.57,20.08,0,0,4.02,7.46,0,0,0,0,0,1.15,0,0,1.15,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,2.94,0,0,0.98,17.67,0.98,0,0,0,0,0,0.98,5.89,42.21,0,0,1.96,2.94,0,0.98,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,5.89,0,6.87,0,0.98,5.89,20.61,1.96,0,0,2.94,0,0,0.98,2.94,67.73,0,0.98,3.93,13.74,0,0.98,2.94,0,1.96,3.93,0,0,0.98,0,0,7.85,0,1.96,0.98,1.96,0
 84-94,0,0,0,12.74,0,15.93,0,3.19,6.37,13.81,3.19,0,1.06,2.12,1.06,0,2.12,16.99,65.85,1.06,1.06,3.19,7.43,0,0,3.19,0,1.06,9.56,0,0,2.12,0,0,3.19,0,1.06,0,0,0
 96-106,0,0,0,20.76,0,8.74,0,3.28,4.37,30.6,2.19,0,1.09,16.39,1.09,0,0,15.3,170.48,1.09,8.74,13.11,20.76,0,3.28,2.19,0,3.28,8.74,0,0,1.09,0,0,8.74,0,2.19,0,3.28,0
108-118,0,0,0,29.11,0,9.19,0,8.43,7.66,26.04,3.06,0,2.3,12.26,0,0.77,0.77,26.04,184.6,0,4.6,10.72,19.15,0.77,0.77,8.43,0,4.6,12.26,0,0,2.3,0,0,4.6,0,2.3,0.77,0.77,0.77
120,0,0,0,13.72,0,5.88,1.96,1.96,7.84,21.56,0,0,1.96,47.03,0,0,5.88,13.72,186.18,1.96,5.88,5.88,23.52,1.96,0,0,0,3.92,1.96,0,0,5.88,0,0,1.96,1.96,3.92,0,0,0
