stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,5.26,0,0,0,28.92,2.63,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,47.2,12.59,0,34.62,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0.82,0.82,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0.57,1.15,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0
