stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,12,0,5,0,0,11,1,0,1,0,1,0,2,4,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,9.85,0,3.28,0,2.46,35.3,0,0,0,0,2.46,0,0,5.75,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,5.64,0,0.81,0,6.45,0,0,0,0,2.42,0,1.61,0,0.81,33.84,0,0,0,0,0.81,0,0,21.75,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,10.33,0.57,0.57,0,13.2,0,0,0,0,1.15,0,4.02,0.57,0,43.04,1.15,0,0,0,0.57,0,0,20.08,0,0,0,0
 60-70,0,0,0,0.98,0,0,22.58,0,0,0,46.13,0,0,0,0,0,0,13.74,0,0.98,56.93,0,0,0,0,3.93,0,0,12.76,0,0,0,0
 72-82,0,1.96,0,1.96,0,0,43.19,0,0.98,0.98,123.69,5.89,0,0,0,0,0,42.21,1.96,0.98,51.05,0,0,0,0,0.98,0,0,10.8,0,0.98,0,0
 84-94,0,0,0,2.12,0,0,62.66,0,0,0,70.09,21.24,1.06,0,1.06,0,0,29.74,0,0,26.55,0,2.12,1.06,0,1.06,0,0,5.31,1.06,0,0,0
 96-106,0,0,0,3.28,0,1.09,101.63,0,1.09,1.09,75.41,74.31,1.09,0,0,0,0,50.27,0,1.09,31.69,0,0,0,0,2.19,1.09,0,10.93,2.19,2.19,1.09,0
108-118,0,0.77,0,3.83,0,0.77,111.83,0.77,0.77,0,91.15,167.75,0,0.77,1.53,1.53,0,41.36,0.77,1.53,35.23,0,0,0.77,0,2.3,0,0,6.13,1.53,0,0,0.77
120,0,0,0,1.96,1.96,1.96,58.79,1.96,0,0,62.71,117.59,0,0,1.96,0,1.96,33.32,0,0,43.12,1.96,0,1.96,0,0,0,0,7.84,0,0,0,0
