stage,axial,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,1,11,0,0,9,0,1,11,1,0,0,0,0,1,0,20,7,0,0,0,0
 24-34,0,0,3.28,7.39,3.28,0,0.82,0,0,5.75,0,0,2.46,0,4.1,41.04,0,0.82,0,0,1.64,0,0,79.62,9.03,0,0,0,0.82
 36-46,0,0,0,0.81,2.42,0.81,0,0.81,0,5.64,0,0,1.61,0,0,15.31,0.81,0,0,0,0,0,0,72.51,2.42,0,0,0.81,0
 48-58,0,0,0,0,5.74,1.72,0,0.57,0.57,5.16,0,0,5.74,0,1.15,17.79,0,0,0,0.57,0.57,0,0,61.97,3.44,0,0,0,0
 60-70,0,0,0,1.96,6.87,2.94,0,3.93,0,3.93,0,0,1.96,0,1.96,11.78,0,0,0,0,0,0,0,35.33,1.96,0,0.98,0,0
 72-82,0,0,0,0.98,4.91,1.96,0,5.89,0,4.91,0,0,8.83,0,2.94,8.83,0,0.98,1.96,0,0,0,0,7.85,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,10.62,0,3.19,0,3.19,0,0,4.25,0,1.06,3.19,0,0,1.06,0,0,0,1.06,25.49,3.19,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,13.11,0,1.09,0,3.28,1.09,0,1.09,0,5.46,9.84,0,1.09,0,0,2.19,0,0,25.14,3.28,1.09,0,1.09,1.09
108-118,0,0.77,0,0.77,0.77,14.55,0,0,0.77,5.36,0,1.53,3.06,0.77,4.6,5.36,0,0,0.77,0,0.77,0,0,22.21,0.77,0,0,0.77,0
120,0,0,0,0,0,9.8,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,7.84,0,0,0,0,0
