stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,9.03,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,20.08,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0.98,0,0,0,2.94,0.98,0,0,0,0.98,0,0,0.98,0,0,0.98,0,1.96,0,0,0,31.41,0,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,69.7,6.87,0,0,0,3.93,0.98,0,0,0,0,0,0,4.91,0,0,0.98,40.25,1.96,0.98,0,0.98,0,0,1.96,0.98,0,0,0
 84-94,0,0,3.19,0,143.38,2.12,0,0,1.06,3.19,2.12,1.06,2.12,0,0,1.06,0,5.31,0,0,2.12,46.73,0,0,0,3.19,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,298.35,7.65,1.09,0,2.19,4.37,8.74,0,2.19,0,1.09,1.09,0,8.74,2.19,0,1.09,45.9,1.09,1.09,0,4.37,0,1.09,1.09,1.09,2.19,1.09,2.19
108-118,0,0,3.06,3.06,547.66,18.38,0.77,0.77,0,2.3,10.72,0,1.53,0.77,0,1.53,0.77,6.13,0,0.77,2.3,56.68,0,0,0,2.3,0.77,0,0,0,0.77,0,0
120,0,0,7.84,1.96,260.65,9.8,0,1.96,0,3.92,9.8,0,0,0,0,0,0,3.92,0,1.96,0,41.16,0,0,0,1.96,0,0,0,0,0,1.96,0
