stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,6.29,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,20.52,0.82,0,0
 36-46,0,1.61,0,0.81,0.81,0.81,0,0,0,0,0,0,0.81,0,1.61,4.03,0,0,20.95,3.22,0,0
 48-58,0,4.02,0,2.3,0,1.15,1.15,0.57,0,0,0,0,1.72,0.57,0,6.89,0.57,0,47.63,1.15,0.57,0.57
 60-70,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0,1.96,3.93,0,0,38.28,0,0,0
 72-82,0,2.94,0,0.98,0,0.98,0,0,0,0,0,0.98,2.94,0,0.98,5.89,0,0,76.57,0,0,0
 84-94,0,4.25,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,73.28,0,0,0
 96-106,0,16.39,2.19,3.28,0,3.28,0,0,3.28,0,0,3.28,1.09,1.09,1.09,8.74,0,0,261.19,0,0,0
108-118,0,0.77,0,2.3,0,3.83,0,0,0,0,0.77,1.53,3.06,0.77,0,2.3,0,0,81.19,0,0,0
120,0,11.76,0,0,0,3.92,0,0,0,0,0,1.96,5.88,1.96,1.96,7.84,0,0,143.06,1.96,0,0
