stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,1,0,36,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.21,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,0,474.45,0,0,0.82,0,1.64,0,0,113.28,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,40.28,0,0,0,13.7,0,0,0.81,0,0,0,0,0.81,0,0,1.61,1405.09,0,5.64,2.42,0,2.42,0,0,207.86,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,112.47,0.57,0,1.15,27.54,0,0,0,0.57,0.57,0,0.57,6.89,0,0,2.87,1672.07,0,5.16,1.72,0,2.3,0,0.57,273.7,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,0,132.51,0,0.98,0,40.24,0,0,0,0,0,0,0,14.72,0.98,0,0,1177.83,0.98,4.91,2.94,0,0.98,0,0,186.49,0,0.98,0,0
 72-82,0,0,0,0,6.87,0,0,100.13,0,0,0,67.73,0,0,0.98,0,0.98,0.98,0,31.41,0,0,0,739.19,0,6.87,5.89,0,0.98,0,0.98,86.39,0.98,1.96,1.96,0
 84-94,0,0,1.06,0,6.37,1.06,0,75.4,0,0,0,55.23,0,2.12,0,0,1.06,0,0,15.93,0,2.12,2.12,382.33,0,3.19,6.37,0,2.12,0,0,49.92,1.06,3.19,1.06,1.06
 96-106,0,0,1.09,1.09,10.93,2.19,0,68.85,0,1.09,0,76.5,0,0,1.09,0,1.09,0,0,17.49,0,2.19,1.09,291.79,0,1.09,3.28,0,1.09,0,1.09,13.11,0,0,2.19,0
108-118,0,0,0,0,6.13,2.3,0.77,44.43,0,0,0,57.45,0,0,0,0.77,0.77,0,0,6.89,0.77,0,2.3,309.45,0,6.89,6.13,0,0.77,0,0.77,7.66,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,90.15,0,0,1.96,68.59,0,0,1.96,0,0,0,0,13.72,0,0,1.96,268.49,0,0,3.92,0,0,0,0,5.88,1.96,0,0,1.96
