stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,23.66,0,2.63,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,872.73,49.95,0,0,977.88,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.15,9.44,0,0,453.16,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,1,3,36,0,0,0,0
 24-34,0,0,0,0,2.46,0,3.28,0,0.82,0,0,0,0,1.64,0,9.03,0,0,0,0,0.82,0.82,0,0.82,137.9,0,0,0,0,0,0,0,0,0,55.82,0,2.46,0,0
 36-46,0,0,0,0,5.64,0,7.25,0,0.81,0.81,0.81,0,0,0,0,4.03,0,0,0,0,0,0,0,1.61,393.17,0,1.61,0,0,0,0,0,0,0,113.6,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,40.74,0,1.15,2.3,2.87,0,0,0.57,0,0.57,0,0,0,0,8.61,0,0,3.44,696.6,0,0.57,0,0,0,0,0.57,0,0,157.8,0,1.72,0,1.15
 60-70,0,0,0,0,4.91,0,105.02,0,0.98,1.96,3.93,0.98,0,0,0,0.98,0.98,0,0,0.98,13.74,0,3.93,0.98,945.21,0,0,0,0,0,1.96,0,0,0,234.58,0,0,0,0.98
 72-82,0,0,0.98,0,7.85,0.98,181.61,0,0,3.93,11.78,1.96,0,0.98,0,0,0,1.96,0,0,20.61,0,0.98,1.96,811.83,0,0,0,0,0.98,0.98,0,0,0,154.12,0.98,3.93,0.98,0
 84-94,0,0,2.12,0,10.62,0,112.58,1.06,1.06,3.19,12.74,1.06,0,0,1.06,6.37,0,0,1.06,0,4.25,0,1.06,0,310.11,0,0,2.12,0,0,0,0,0,0,77.53,0,1.06,0,0
 96-106,0,0,1.09,0,6.56,1.09,80.87,0,1.09,0,12.02,0,0,0,1.09,0,0,0,0,0,8.74,0,0,1.09,249.17,0,0,0,0,0,0,0,0,0,39.34,0,1.09,1.09,0
108-118,0,0,1.53,0,6.13,0.77,71.23,0,0.77,1.53,4.6,0.77,0,0,0,0.77,0.77,0.77,0,0,9.96,0,0.77,0.77,265.79,0,0,0,0,0.77,1.53,0,0,0,19.92,0,2.3,0.77,2.3
120,0,0,0,0,0,1.96,60.75,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,3.92,0,0,3.92,246.93,0,0,0,0,0,0,0,0,0,23.52,0,0,0,1.96
