stage,blastomeres,epidermis,erythrocytes,eye,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,21.03,0,10.51,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,5,0,0,0,1,0,0,2,5,1,0,0,3,3,7,1
 24-34,0,0.82,0,0,0,0,0,0,0.82,3.28,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,1.06,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0.77,0.77,0.77,0.77,0.77,0,0,0,0,0,0,0
120,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
